ds,unique_id,y,LOAD_FC,GEN_FC,FR,NL,week_day,hour-of-day,weekday,NL+FR
2019-04-04 23:00:00+02:00,BE,37,10321.75,9053,62250,11756.25,3,23,0,74006.25
2019-04-05 00:00:00+02:00,BE,40.16,9204,8515,60000,10635,4,0,0,70635
2019-04-05 01:00:00+02:00,BE,35.78,8668.75,8889,57250,10410.25,4,1,0,67660.25
2019-04-05 02:00:00+02:00,BE,36.09,8679.75,8196,56300,9968.25,4,2,0,66268.25
2019-04-05 03:00:00+02:00,BE,36.98,8721,8076,53300,9789,4,3,0,63089
2019-04-05 04:00:00+02:00,BE,36.17,9112.75,7579,52100,9765.5,4,4,0,61865.5
2019-04-05 05:00:00+02:00,BE,38.68,9947,8880,54000,9854.5,4,5,0,63854.5
2019-04-05 06:00:00+02:00,BE,45.77,10742.25,9629,58800,10230,4,6,0,69030
2019-04-05 07:00:00+02:00,BE,53.64,11163.75,10768,65350,11242.25,4,7,0,76592.25
2019-04-05 08:00:00+02:00,BE,58.67,11242,11336,68200,12598.25,4,8,0,80798.25
2019-04-05 09:00:00+02:00,BE,53.64,11194.25,10918,68550,13468.25,4,9,0,82018.25
2019-04-05 10:00:00+02:00,BE,52.4,11071.25,10927,66850,13346,4,10,0,80196
2019-04-05 11:00:00+02:00,BE,44.65,10913.75,10940,64850,12563.5,4,11,0,77413.5
2019-04-05 12:00:00+02:00,BE,39.9,10790.75,11032,62900,11624.75,4,12,0,74524.75
2019-04-05 13:00:00+02:00,BE,39.72,10631.25,11058,61200,11475,4,13,0,72675
2019-04-05 14:00:00+02:00,BE,38.58,10467.75,10923,58900,11228.25,4,14,0,70128.25
2019-04-05 15:00:00+02:00,BE,38.34,10322.75,10731,56350,11329,4,15,0,67679
2019-04-05 16:00:00+02:00,BE,38.64,10266.25,10401,54350,11544.75,4,16,0,65894.75
2019-04-05 17:00:00+02:00,BE,40.96,10220.5,9927,53250,11924,4,17,0,65174
2019-04-05 18:00:00+02:00,BE,44.35,10296,9710,54750,12648.5,4,18,0,67398.5
2019-04-05 19:00:00+02:00,BE,47.23,10376.75,9593,57300,12687.5,4,19,0,69987.5
2019-04-05 20:00:00+02:00,BE,46.94,10463.25,9559,57650,13044,4,20,0,70694
2019-04-05 21:00:00+02:00,BE,41.99,10498.25,9567,56950,12826.75,4,21,0,69776.75
2019-04-05 22:00:00+02:00,BE,41.33,10001,9529,55950,12189.5,4,22,0,68139.5
2019-04-05 23:00:00+02:00,BE,40.33,9870.25,9383,59050,11164.75,4,23,0,70214.75
2019-04-06 00:00:00+02:00,BE,41.65,8988,7930,56950,8849.75,5,0,1,65799.75
2019-04-06 01:00:00+02:00,BE,39.86,8462.5,7534,53750,9342.75,5,1,1,63092.75
2019-04-06 02:00:00+02:00,BE,38.31,8254.25,7344,52100,8982.5,5,2,1,61082.5
2019-04-06 03:00:00+02:00,BE,36.1,8217.5,7356,49350,8847.75,5,3,1,58197.75
2019-04-06 04:00:00+02:00,BE,36.13,8330.25,7346,47700,8901,5,4,1,56601
2019-04-06 05:00:00+02:00,BE,37.27,8708.25,7332,48100,8964.25,5,5,1,57064.25
2019-04-06 06:00:00+02:00,BE,39.2,8841.5,7470,49850,8951.25,5,6,1,58801.25
2019-04-06 07:00:00+02:00,BE,42.03,9092.5,7711,52100,9177.25,5,7,1,61277.25
2019-04-06 08:00:00+02:00,BE,44.06,9576.5,7883,54250,9613.75,5,8,1,63863.75
2019-04-06 09:00:00+02:00,BE,46.51,9781.75,8148,57000,10064.75,5,9,1,67064.75
2019-04-06 10:00:00+02:00,BE,42.72,9830.5,8490,57550,10250.25,5,10,1,67800.25
2019-04-06 11:00:00+02:00,BE,40.91,9733.25,8866,56900,10118.25,5,11,1,67018.25
2019-04-06 12:00:00+02:00,BE,38.4,9634.25,9096,56750,9739.75,5,12,1,66489.75
2019-04-06 13:00:00+02:00,BE,34.95,9405.25,8804,56550,9466,5,13,1,66016
2019-04-06 14:00:00+02:00,BE,32.12,9234.25,8728,53400,9170.75,5,14,1,62570.75
2019-04-06 15:00:00+02:00,BE,32.58,9178,8536,50400,9024.5,5,15,1,59424.5
2019-04-06 16:00:00+02:00,BE,32.97,9245.25,8268,48550,9052.5,5,16,1,57602.5
2019-04-06 17:00:00+02:00,BE,34.26,9379.75,7924,47650,9323,5,17,1,56973
2019-04-06 18:00:00+02:00,BE,41.38,9339.5,7538,49250,9880.75,5,18,1,59130.75
2019-04-06 19:00:00+02:00,BE,42.91,9539.25,7295,51800,10071.25,5,19,1,61871.25
2019-04-06 20:00:00+02:00,BE,48.93,9678.25,7228,52450,10408.5,5,20,1,62858.5
2019-04-06 21:00:00+02:00,BE,42.28,9690.75,7268,52650,10287.25,5,21,1,62937.25
2019-04-06 22:00:00+02:00,BE,42.23,9238.25,7297,52050,9851.5,5,22,1,61901.5
2019-04-06 23:00:00+02:00,BE,40.53,8975.75,7416,55900,9407.5,5,23,1,65307.5
2019-04-07 00:00:00+02:00,BE,44.96,8309.75,7346,55150,8404,6,0,1,63554
2019-04-07 01:00:00+02:00,BE,37.98,7888,7302,52350,8446,6,1,1,60796
2019-04-07 02:00:00+02:00,BE,37.21,7670.5,7338,51000,8088,6,2,1,59088
2019-04-07 03:00:00+02:00,BE,35.5,7634,7304,47600,7871.5,6,3,1,55471.5
2019-04-07 04:00:00+02:00,BE,35.64,7683,7275,45850,7968.25,6,4,1,53818.25
2019-04-07 05:00:00+02:00,BE,36.17,8014,7246,45450,8021.25,6,5,1,53471.25
2019-04-07 06:00:00+02:00,BE,36.69,8069.25,7243,46600,8185.75,6,6,1,54785.75
2019-04-07 07:00:00+02:00,BE,39.43,8380.25,7319,47450,8393.5,6,7,1,55843.5
2019-04-07 08:00:00+02:00,BE,40.51,8707.25,7462,49150,8424,6,8,1,57574
2019-04-07 09:00:00+02:00,BE,40.66,8880,7808,52050,8597.25,6,9,1,60647.25
2019-04-07 10:00:00+02:00,BE,36.63,8984.5,8095,53750,8522.25,6,10,1,62272.25
2019-04-07 11:00:00+02:00,BE,34.99,8985.25,8451,54300,8183.25,6,11,1,62483.25
2019-04-07 12:00:00+02:00,BE,34.68,8771.5,8712,55000,7626.5,6,12,1,62626.5
