ds,unique_id,y,LOAD_FC,GEN_FC,FR,NL,week_day,hour-of-day
2019-03-18 23:00:00+01:00,BE,41.88,10308.75,8795.0,65050.0,9684.75,0,23
2019-03-19 00:00:00+01:00,BE,39.08,9778.25,8508.0,62100.0,9159.75,1,0
2019-03-19 01:00:00+01:00,BE,38.49,9388.5,8461.0,59250.0,8947.5,1,1
2019-03-19 02:00:00+01:00,BE,37.45,9089.5,8036.0,58950.0,8789.75,1,2
2019-03-19 03:00:00+01:00,BE,36.47,9038.25,8069.0,56150.0,8693.5,1,3
2019-03-19 04:00:00+01:00,BE,36.42,9157.5,8470.0,54900.0,8706.25,1,4
2019-03-19 05:00:00+01:00,BE,40.29,9621.75,8618.0,56850.0,8930.5,1,5
2019-03-19 06:00:00+01:00,BE,46.96,10724.0,9977.0,62200.0,9927.0,1,6
2019-03-19 07:00:00+01:00,BE,51.27,11362.75,10020.0,67700.0,11448.75,1,7
2019-03-19 08:00:00+01:00,BE,54.38,11538.5,10015.0,69850.0,12290.75,1,8
2019-03-19 09:00:00+01:00,BE,49.69,11503.75,10527.0,69550.0,12215.25,1,9
2019-03-19 10:00:00+01:00,BE,46.31,11314.0,10914.0,68100.0,11541.75,1,10
2019-03-19 11:00:00+01:00,BE,44.55,11193.25,11151.0,66950.0,10983.25,1,11
2019-03-19 12:00:00+01:00,BE,43.31,10864.25,11025.0,66000.0,10446.5,1,12
2019-03-19 13:00:00+01:00,BE,42.89,10821.0,10853.0,65200.0,10352.5,1,13
2019-03-19 14:00:00+01:00,BE,42.48,10798.75,10568.0,63450.0,10437.5,1,14
2019-03-19 15:00:00+01:00,BE,43.74,10872.25,10411.0,60800.0,10674.25,1,15
2019-03-19 16:00:00+01:00,BE,44.61,10941.5,10267.0,58900.0,11306.25,1,16
2019-03-19 17:00:00+01:00,BE,48.96,11123.5,9740.0,58200.0,12064.25,1,17
2019-03-19 18:00:00+01:00,BE,61.5,11419.25,9540.0,60800.0,12033.25,1,18
2019-03-19 19:00:00+01:00,BE,60.73,11579.5,9928.0,67550.0,12094.75,1,19
2019-03-19 20:00:00+01:00,BE,52.55,11126.5,9618.0,67200.0,11593.0,1,20
2019-03-19 21:00:00+01:00,BE,46.46,10522.25,9502.0,63300.0,10929.75,1,21
2019-03-19 22:00:00+01:00,BE,44.72,10406.0,9538.0,61850.0,10179.5,1,22
2019-03-19 23:00:00+01:00,BE,41.08,10134.25,9322.0,64450.0,9495.0,1,23
2019-03-20 00:00:00+01:00,BE,38.28,9644.25,8572.0,61650.0,9308.75,2,0
2019-03-20 01:00:00+01:00,BE,36.3,9181.25,7925.0,58950.0,9048.25,2,1
2019-03-20 02:00:00+01:00,BE,35.05,8876.0,7776.0,58400.0,8858.75,2,2
2019-03-20 03:00:00+01:00,BE,34.33,8794.75,7683.0,55750.0,8758.5,2,3
2019-03-20 04:00:00+01:00,BE,34.69,8979.25,7739.0,54850.0,8835.0,2,4
2019-03-20 05:00:00+01:00,BE,37.2,9464.0,8230.0,57250.0,9197.5,2,5
2019-03-20 06:00:00+01:00,BE,47.61,10608.5,9315.0,62250.0,10237.25,2,6
2019-03-20 07:00:00+01:00,BE,50.57,11251.5,9564.0,67200.0,11771.75,2,7
2019-03-20 08:00:00+01:00,BE,56.23,11479.25,10025.0,69100.0,12702.0,2,8
2019-03-20 09:00:00+01:00,BE,48.15,11624.25,9954.0,69000.0,12766.5,2,9
2019-03-20 10:00:00+01:00,BE,45.35,11516.75,10194.0,67150.0,12435.0,2,10
2019-03-20 11:00:00+01:00,BE,39.86,11505.75,10076.0,65200.0,12194.75,2,11
2019-03-20 12:00:00+01:00,BE,37.59,11294.5,10003.0,64250.0,12112.5,2,12
2019-03-20 13:00:00+01:00,BE,37.47,11297.25,9848.0,63000.0,12104.5,2,13
2019-03-20 14:00:00+01:00,BE,38.16,11148.0,9616.0,60500.0,12095.5,2,14
2019-03-20 15:00:00+01:00,BE,40.36,11055.5,9402.0,58050.0,12201.5,2,15
2019-03-20 16:00:00+01:00,BE,42.1,10918.25,9211.0,56650.0,12495.0,2,16
2019-03-20 17:00:00+01:00,BE,45.49,11002.75,9276.0,56050.0,12924.75,2,17
2019-03-20 18:00:00+01:00,BE,53.2,11208.0,9170.0,58800.0,12618.25,2,18
2019-03-20 19:00:00+01:00,BE,55.55,11471.25,9528.0,65350.0,12545.0,2,19
2019-03-20 20:00:00+01:00,BE,50.0,11113.5,9154.0,65100.0,12030.5,2,20
2019-03-20 21:00:00+01:00,BE,44.24,10536.25,9161.0,60700.0,11368.75,2,21
2019-03-20 22:00:00+01:00,BE,43.4,10479.5,8976.0,59500.0,10507.0,2,22
2019-03-20 23:00:00+01:00,BE,42.03,10290.25,8667.0,62650.0,9862.5,2,23
2019-03-21 00:00:00+01:00,BE,35.47,9700.25,8244.0,60800.0,9343.25,3,0
2019-03-21 01:00:00+01:00,BE,34.7,9156.25,8120.0,58200.0,9132.25,3,1
2019-03-21 02:00:00+01:00,BE,33.51,8891.75,7973.0,57600.0,9025.25,3,2
2019-03-21 03:00:00+01:00,BE,33.04,8872.0,7772.0,55050.0,9049.5,3,3
2019-03-21 04:00:00+01:00,BE,33.1,8940.5,7646.0,53850.0,9174.5,3,4
2019-03-21 05:00:00+01:00,BE,35.93,9383.0,8105.0,55950.0,9505.0,3,5
2019-03-21 06:00:00+01:00,BE,44.09,10447.5,8907.0,61100.0,10503.75,3,6
2019-03-21 07:00:00+01:00,BE,52.28,11114.5,9375.0,66200.0,11925.75,3,7
2019-03-21 08:00:00+01:00,BE,45.44,11405.0,9850.0,67950.0,12897.25,3,8
2019-03-21 09:00:00+01:00,BE,45.64,11649.25,9929.0,67700.0,13027.0,3,9
2019-03-21 10:00:00+01:00,BE,38.5,11604.0,10053.0,65650.0,12722.75,3,10
2019-03-21 11:00:00+01:00,BE,35.89,11653.5,10244.0,64100.0,12291.5,3,11
2019-03-21 12:00:00+01:00,BE,35.43,11363.5,10064.0,62650.0,11773.0,3,12
2019-03-21 13:00:00+01:00,BE,34.5,11346.25,9801.0,61800.0,11639.0,3,13
2019-03-21 14:00:00+01:00,BE,34.72,11155.75,9610.0,59550.0,11583.75,3,14
2019-03-21 15:00:00+01:00,BE,36.81,11035.0,9551.0,56750.0,11932.25,3,15
2019-03-21 16:00:00+01:00,BE,39.27,10889.75,9299.0,55150.0,12366.0,3,16
2019-03-21 17:00:00+01:00,BE,43.4,11065.25,9153.0,54500.0,12829.75,3,17
2019-03-21 18:00:00+01:00,BE,46.7,11333.5,8994.0,56900.0,12545.0,3,18
2019-03-21 19:00:00+01:00,BE,55.0,11604.0,9372.0,62900.0,12616.5,3,19
2019-03-21 20:00:00+01:00,BE,47.53,11183.75,9187.0,62400.0,12096.5,3,20
2019-03-21 21:00:00+01:00,BE,43.92,10564.25,8705.0,59050.0,11280.25,3,21
2019-03-21 22:00:00+01:00,BE,41.94,10460.0,8699.0,57850.0,10372.25,3,22
2019-03-21 23:00:00+01:00,BE,39.65,10243.75,8399.0,61150.0,9681.75,3,23
2019-03-22 00:00:00+01:00,BE,39.0,9583.0,7927.0,58650.0,9202.75,4,0
2019-03-22 01:00:00+01:00,BE,35.95,9118.5,7875.0,56200.0,8925.75,4,1
2019-03-22 02:00:00+01:00,BE,36.69,8846.25,7925.0,55800.0,8802.75,4,2
2019-03-22 03:00:00+01:00,BE,36.39,8749.25,7921.0,53250.0,8837.0,4,3
2019-03-22 04:00:00+01:00,BE,36.28,8941.5,8639.0,52100.0,8992.0,4,4
2019-03-22 05:00:00+01:00,BE,39.95,9466.25,8858.0,54100.0,9535.75,4,5
2019-03-22 06:00:00+01:00,BE,46.01,10512.0,9302.0,59650.0,10637.5,4,6
2019-03-22 07:00:00+01:00,BE,50.98,11134.5,9604.0,64650.0,12125.0,4,7
2019-03-22 08:00:00+01:00,BE,49.2,11456.25,9272.0,66750.0,13183.0,4,8
2019-03-22 09:00:00+01:00,BE,44.97,11590.25,9657.0,66050.0,13409.25,4,9
2019-03-22 10:00:00+01:00,BE,40.41,11525.0,10110.0,64000.0,13204.5,4,10
2019-03-22 11:00:00+01:00,BE,36.57,11608.0,10251.0,61750.0,12780.0,4,11
2019-03-22 12:00:00+01:00,BE,35.0,11298.0,10413.0,60100.0,12262.5,4,12
2019-03-22 13:00:00+01:00,BE,34.3,11182.5,10400.0,58550.0,12028.75,4,13
2019-03-22 14:00:00+01:00,BE,34.46,10972.0,10208.0,55750.0,12033.5,4,14
2019-03-22 15:00:00+01:00,BE,35.0,10838.0,9861.0,52850.0,12284.25,4,15
2019-03-22 16:00:00+01:00,BE,37.78,10695.5,9492.0,51100.0,12622.75,4,16
2019-03-22 17:00:00+01:00,BE,42.59,10694.5,9017.0,50250.0,12991.0,4,17
2019-03-22 18:00:00+01:00,BE,46.91,10839.75,8674.0,52400.0,12682.75,4,18
2019-03-22 19:00:00+01:00,BE,50.17,10810.5,8638.0,57950.0,12517.75,4,19
2019-03-22 20:00:00+01:00,BE,46.0,10496.0,8621.0,58550.0,11882.0,4,20
2019-03-22 21:00:00+01:00,BE,40.61,9955.75,8429.0,55450.0,11048.0,4,21
2019-03-22 22:00:00+01:00,BE,39.9,10007.75,8427.0,54400.0,10231.25,4,22
2019-03-22 23:00:00+01:00,BE,37.12,9956.0,8105.0,58450.0,9509.25,4,23
2019-03-23 00:00:00+01:00,BE,35.53,9301.0,7569.0,56400.0,8812.75,5,0
