a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
1,0.33006351141476276,0.420527562950074,0.33005513575906975,1.3390892236241934,1.4147827727136262,1.3390898043843569,0.33247053418010153,0.4101335140625526,0.33247065956256505,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14135241508483887,648.6641919612885,134.80058932304382,500.31312584877014,648.5228395462036,1,0,0.02,0.0,true
2,0.3716444245867043,0.420527562950074,0.37164484265185904,1.3248044779678465,1.4147827727136262,1.324805858515698,0.3391232989798365,0.4101335140625526,0.33912379666471915,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14298248291015625,669.5000450611115,144.9201683998108,510.38189816474915,669.3570625782013,1,0,0.1,0.0,true
3,0.3140932144606965,0.420527562950074,0.31409336461461423,1.3167499635679034,1.4147827727136262,1.3167501070129797,0.3045371236396941,0.4101335140625526,0.3045372205533661,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14102983474731445,338.27397203445435,75.97171902656555,249.43181800842285,338.13294219970703,2,0,0.02,0.0,true
4,0.3418564093363914,0.420527562950074,0.34185683029280733,1.2573454280784384,1.4147827727136262,1.257345745287048,0.3314455434907919,0.4101335140625526,0.3314459249031678,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14268922805786133,353.6909329891205,86.93721389770508,253.47781586647034,353.5482437610626,2,0,0.1,0.0,true
5,0.4183328854993382,0.420527562950074,0.4183327282918703,1.4221654266268886,1.4147827727136262,1.4221649829317702,0.4121839054150358,0.4101335140625526,0.4121843711554143,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1408367156982422,181.926372051239,47.93447828292847,121.18082308769226,181.78553533554077,4,0,0.02,0.0,true
6,0.41512720502629885,0.420527562950074,0.41512763426999477,1.4140786587689984,1.4147827727136262,1.4140795624032916,0.4090396940877188,0.4101335140625526,0.4090400548421811,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14023113250732422,188.57338786125183,51.2501916885376,124.58352494239807,188.4331567287445,4,0,0.1,0.0,true
7,0.4200094021931897,0.420527562950074,0.42000974665893853,1.4248664473375294,1.4147827727136262,1.4248676964361695,0.41034673028251145,0.4101335140625526,0.4103471127534317,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14110088348388672,104.64263892173767,31.968371152877808,59.87881016731262,104.50153803825378,8,0,0.02,0.0,true
8,0.41964970122077094,0.420527562950074,0.4196469646628973,1.426040052261584,1.4147827727136262,1.4260411242223885,0.4139455382217381,0.4101335140625526,0.41394586260833854,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14205598831176758,105.56920289993286,29.931267023086548,62.91925883293152,105.4271469116211,8,0,0.1,0.0,true
9,0.4176677742088146,0.420527562950074,0.41766840625744184,1.4630131430503104,1.4147827727136262,1.4630153528266194,0.4152320208830207,0.4101335140625526,0.41523327791473874,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.17419219017028809,72.77048397064209,30.7058367729187,29.511911869049072,72.5962917804718,16,0,0.02,0.0,true
10,0.41892636181305276,0.420527562950074,0.41892767225726657,1.4872339204041136,1.4147827727136262,1.487234584587247,0.41648257726378235,0.4101335140625526,0.4164832035932904,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14198899269104004,79.05708503723145,36.26978826522827,30.12192702293396,78.9150960445404,16,0,0.1,0.0,true
