a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
1,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,122.67781615257263,951.3844888210297,402.6196982860565,408.0398790836334,828.706672668457,1,0,0.02,0.0,true
2,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,125.62876868247986,945.8163919448853,393.34406185150146,408.2728228569031,820.1876232624054,1,0,0.1,0.0,true
3,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,95.30576753616333,681.7934889793396,362.7749762535095,207.84576296806335,586.4877214431763,2,0,0.02,0.0,true
4,0.4197212808070534,0.420527562950074,0.4197216006306361,1.2699559549125832,1.4147827727136262,1.269956330952815,0.408872752826305,0.4101335140625526,0.4088729641490574,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,97.78302812576294,712.245444059372,388.7008521556854,208.69805002212524,614.462415933609,2,0,0.1,0.0,true
5,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,92.37589168548584,551.0604019165039,313.28582072257996,129.28445601463318,458.68451023101807,4,0,0.02,0.0,true
6,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,94.77093553543091,579.1976699829102,360.1450090408325,107.35131502151489,484.42673444747925,4,0,0.1,0.0,true
7,0.42060413102497773,0.420527562950074,0.4206045739104338,1.408575200759886,1.4147827727136262,1.4085755133908293,0.4131968933377759,0.4101335140625526,0.4131972664749912,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,94.08112263679504,580.251314163208,409.36887979507446,61.43035888671875,486.17019152641296,8,0,0.02,0.0,true
8,0.4291219747454118,0.420527562950074,0.4291222401524153,1.4460621249441696,1.4147827727136262,1.4460633600229844,0.4176566314593262,0.4101335140625526,0.4176569126645062,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,72.2876205444336,739.7607698440552,598.0854012966156,53.83372688293457,667.4731492996216,8,0,0.1,0.0,true
9,0.4222956317815869,0.420527562950074,0.42229587965970494,1.4409951728404704,1.4147827727136262,1.4409957513933689,0.41036410090869957,0.4101335140625526,0.41036347211148705,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,59.48912286758423,934.2954769134521,791.3864161968231,68.57671308517456,874.8063540458679,16,0,0.02,0.0,true
10,0.422549957209966,0.420527562950074,0.42254801536710507,1.4431804540544646,1.4147827727136262,1.4431910572146665,0.4170872138827879,0.4101335140625526,0.41708756768654065,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,83.10652875900269,528.297003030777,404.05055022239685,26.34135389328003,445.1904742717743,16,0,0.1,0.0,true
11,0.419073199803929,0.420527562950074,0.4190738550305464,1.4398194263128028,1.4147827727136262,1.4398193773586936,0.4157737467486302,0.4101335140625526,0.41577488892805725,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,64.50363206863403,835.8934922218323,725.8155248165131,29.918662071228027,771.3898601531982,32,0,0.02,0.0,true
12,0.4258618702394281,0.420527562950074,0.42586213149756835,1.5100694385566786,1.4147827727136262,1.5100753963479665,0.42276817765214525,0.4101335140625526,0.42276948775744216,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,78.01285576820374,543.3770258426666,437.56565713882446,13.260918140411377,465.3641700744629,32,0,0.1,0.0,true
13,0.4256297950544319,0.420527562950074,0.4256297303722638,1.4662365802424513,1.4147827727136262,1.4662375463646473,0.4138227534701242,0.4101335140625526,0.41382403142713886,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,104.28944802284241,583.8385269641876,457.0038001537323,7.928156852722168,479.5490789413452,64,0,0.02,0.0,true
