a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
1,0.38432554017328857,0.420527562950074,0.38432571281493755,1.0935136036441202,1.4147827727136262,1.093513827650792,0.3790585897728558,0.4101335140625526,0.37905876061564325,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14171409606933594,443.9148619174957,267.2320456504822,159.18941497802734,443.7731478214264,1,0,0.02,0.0,true
2,0.3843271151656129,0.420527562950074,0.3843272342851536,1.0935337442516957,1.4147827727136262,1.093533057411797,0.3790610162985466,0.4101335140625526,0.3790610888568424,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14186501502990723,438.98893785476685,264.73111605644226,156.43183302879333,438.84707283973694,1,0,0.1,0.0,true
3,0.27930110810723385,0.420527562950074,0.27930094353571744,1.3051506793179373,1.4147827727136262,1.3051484300082947,0.27890154170790216,0.4101335140625526,0.27890138128664277,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14160895347595215,287.7576961517334,189.31764888763428,82.1367859840393,287.61608719825745,2,0,0.02,0.0,true
4,0.2687911369725986,0.420527562950074,0.26879200437117234,1.310228355536232,1.4147827727136262,1.3102299383873728,0.2697768357517826,0.4101335140625526,0.2697776701163819,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.13982605934143066,280.2763080596924,183.18508291244507,80.79448294639587,280.13648200035095,2,0,0.1,0.0,true
5,0.2754303078942406,0.420527562950074,0.27544363115439885,0.4153266691499873,1.4147827727136262,0.41536531910067875,0.2539511903287104,0.4101335140625526,0.25396335372166856,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1404106616973877,188.32237100601196,130.0389723777771,41.92272090911865,188.18196034431458,4,0,0.02,0.0,true
6,0.2983202799890159,0.420527562950074,0.2983268812683453,0.3827358288545861,1.4147827727136262,0.38269049883606243,0.28029237200447477,0.4101335140625526,0.28029657611477066,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.2054920196533203,192.31192898750305,133.47810649871826,42.50594401359558,192.10643696784973,4,0,0.1,0.0,true
7,0.30038432764038925,0.420527562950074,0.3003938133784747,0.3951816072349068,1.4147827727136262,0.39521039961024496,0.27093831339908525,0.4101335140625526,0.27094723735950144,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14033031463623047,143.47504377365112,106.77338933944702,21.076190948486328,143.3347134590149,8,0,0.02,0.0,true
8,0.29021620364372325,0.420527562950074,0.2904375744779315,0.6559573176395777,1.4147827727136262,0.6568531942247562,0.28342757597135293,0.4101335140625526,0.28363697211254846,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14040541648864746,147.7012710571289,110.59875679016113,21.63495397567749,147.56086564064026,8,0,0.1,0.0,true
9,0.17563349516515886,0.420527562950074,0.17564293384245083,0.9678265483683515,1.4147827727136262,0.9678095552013153,0.1580559503982668,0.4101335140625526,0.15806251829526807,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14890289306640625,117.47603607177734,90.71089172363281,10.99032998085022,117.32713317871094,16,0,0.02,0.0,true
10,0.27130054147680194,0.420527562950074,0.2713388955870164,-0.22228653170691626,1.4147827727136262,-0.22241326763317026,0.24547372533758693,0.4101335140625526,0.24550753245098522,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14254283905029297,117.99472689628601,92.05649375915527,10.768498182296753,117.85218405723572,16,0,0.1,0.0,true
11,0.2292057745921599,0.420527562950074,0.22921670780605896,1.1267325131695265,1.4147827727136262,1.126799897688096,0.2178004118241581,0.4101335140625526,0.2178117128849924,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14172101020812988,104.16104006767273,82.48803997039795,5.91435694694519,104.0193190574646,32,0,0.02,0.0,true
12,0.22906368532984395,0.420527562950074,0.22908116484932528,1.12610434920318,1.4147827727136262,1.1262009891954867,0.21764784686766087,0.4101335140625526,0.21766617870046467,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14113712310791016,108.38444304466248,87.39897012710571,5.25642204284668,108.24330592155457,32,0,0.1,0.0,true
13,0.09952948854927518,0.420527562950074,0.09954102500023149,0.6945786557379888,1.4147827727136262,0.6946319377571363,0.10258966492551458,0.4101335140625526,0.10260719742874247,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14108705520629883,104.03407120704651,86.13064980506897,2.7449069023132324,103.89298415184021,64,0,0.02,0.0,true
14,0.12581825712676725,0.420527562950074,0.12734815106318265,0.7003611781521859,1.4147827727136262,0.7050678314244218,0.12258354334676225,0.4101335140625526,0.1240417186797928,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14231109619140625,113.66924500465393,95.41190791130066,2.9193601608276367,113.52693390846252,64,0,0.1,0.0,true
15,0.3843255072362832,0.420527562950074,0.3843256813758047,1.093513599084619,1.4147827727136262,1.093513822836349,0.3790585582304995,0.4101335140625526,0.37905873050184447,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.142073392868042,438.2498369216919,264.6908812522888,156.78428387641907,438.10776352882385,1,0,0.02,0.1,true
16,0.3843267794196503,0.420527562950074,0.3843268979294152,1.0935306147769293,1.4147827727136262,1.0935300126964487,0.37906057046773833,0.4101335140625526,0.37906064915587145,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1409165859222412,438.373064994812,264.61832666397095,156.26330590248108,438.23214840888977,1,0,0.1,0.1,true
17,0.3284695721704054,0.420527562950074,0.3284694889296129,1.1597735969515002,1.4147827727136262,1.1597743917887025,0.32320297033531364,0.4101335140625526,0.3232028919114396,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.13900470733642578,283.4938340187073,183.55036234855652,83.42454695701599,283.35482931137085,2,0,0.02,0.1,true
18,0.2719502334833108,0.420527562950074,0.27195060721051023,1.2636723547480573,1.4147827727136262,1.263679544685588,0.2669425355057282,0.4101335140625526,0.26694300228920276,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14107966423034668,278.1475830078125,181.14227771759033,80.84760093688965,278.00650334358215,2,0,0.1,0.1,true
19,0.2743442590742238,0.420527562950074,0.27456135827375006,0.6330070233509115,1.4147827727136262,0.633125808341485,0.2681049523829042,0.4101335140625526,0.26831621038250053,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14296865463256836,192.70607209205627,135.71352100372314,40.77527594566345,192.5631034374237,4,0,0.02,0.1,true
20,0.29845713539344665,0.420527562950074,0.2984610165862316,0.3826380977184858,1.4147827727136262,0.38261104149156555,0.2804136243334834,0.4101335140625526,0.28041592525609293,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1399703025817871,194.87560105323792,134.79123735427856,43.031829833984375,194.73563075065613,4,0,0.1,0.1,true
21,0.336211208611056,0.420527562950074,0.3362285442785946,0.5342274588003955,1.4147827727136262,0.5342254148855528,0.3192567076400661,0.4101335140625526,0.3192721326721384,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14058256149291992,145.8956069946289,107.85688900947571,21.02912187576294,145.755024433136,8,0,0.02,0.1,true
22,0.20240914978620395,0.420527562950074,0.20243756613554176,-0.29360598280129224,1.4147827727136262,-0.2935136779304397,0.19529350059946715,0.4101335140625526,0.19532292401862494,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14126086235046387,143.14439487457275,104.87731885910034,21.478044986724854,143.0031340122223,8,0,0.1,0.1,true
23,0.2730207364396835,0.420527562950074,0.2731074294464848,-0.04542102752171129,1.4147827727136262,-0.045186326342204985,0.257828393680406,0.4101335140625526,0.25790010989765566,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14216303825378418,118.7957010269165,92.67488312721252,10.322920083999634,118.65353798866272,16,0,0.02,0.1,true
24,0.17279939283009893,0.420527562950074,0.1726406287489991,0.7996553189199268,1.4147827727136262,0.7986276085920277,0.1623205433580443,0.4101335140625526,0.1621655124389329,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14046502113342285,120.50310111045837,93.62234807014465,11.195938110351562,120.36263608932495,16,0,0.1,0.1,true
25,0.09851939739002452,0.420527562950074,0.09857865884488687,0.46704773674970657,1.4147827727136262,0.4674527087271978,0.09258567516622962,0.4101335140625526,0.09263875172821406,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1419360637664795,104.89694309234619,84.00539684295654,5.60385799407959,104.75500702857971,32,0,0.02,0.1,true
26,0.13914696523468728,0.420527562950074,0.13915191720346587,0.6297736550952111,1.4147827727136262,0.6298608810458208,0.13357360948292019,0.4101335140625526,0.1335806633325231,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14094996452331543,110.86684799194336,89.23212814331055,6.164265155792236,110.72589802742004,32,0,0.1,0.1,true
27,0.09952948867533362,0.420527562950074,0.09954102487945954,0.6945786567079216,1.4147827727136262,0.6946319366542685,0.10258966504943562,0.4101335140625526,0.10260719730606371,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14107894897460938,111.7274341583252,93.81295490264893,2.7674269676208496,111.58635520935059,64,0,0.02,0.1,true
28,0.12581825512510725,0.420527562950074,0.12734814511180226,0.7003611710963675,1.4147827727136262,0.7050678099092836,0.12258354140245359,0.4101335140625526,0.12404171284308152,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14366507530212402,105.11135196685791,86.93859887123108,2.7706611156463623,104.96768689155579,64,0,0.1,0.1,true
