a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_train_time,b_train_time_WS,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
1,0.3939754857026925,0.420527562950074,0.35988334317549,1.4814505935507678,1.4147827727136262,1.5394624019036556,0.40519819099959764,0.4101335140625526,0.3632733087349067,0.5153637683698817,1.754977234431795,0.4891993484695554,5,51,356.3226041793823,0.14017105102539062,356.18243312835693,64,0.01,0.0,0.0,true
2,0.3646153138638968,0.420527562950074,0.23113037192846342,1.545816190453686,1.4147827727136262,1.7549744678391175,0.31966928691816565,0.4101335140625526,0.22883319105114186,0.5153637683698817,1.754977234431795,0.4891993484695554,7,77,933.498251914978,0.14020109176635742,933.3580508232117,64,0.01,0.0,0.0,false
3,0.4302931335553284,0.420527562950074,0.3865281280157278,1.4287603073306911,1.4147827727136262,1.524934653418156,0.4167026785426242,0.4101335140625526,0.38283010469497936,0.5153637683698817,1.754977234431795,0.4891993484695554,13,55,389.5796699523926,0.13951611518859863,389.440153837204,64,0.01,0.5,0.0,true
4,0.39508853066381766,0.420527562950074,-0.036039485306260666,1.5410082715489528,1.4147827727136262,1.751371825938524,0.36886982898782006,0.4101335140625526,-0.03319624244301744,0.5153637683698817,1.754977234431795,0.4891993484695554,8,49,426.0455310344696,0.15849614143371582,425.8870348930359,64,0.01,0.5,0.0,false
5,0.43551474065475504,0.420527562950074,0.4156149621548626,1.4878799678277477,1.4147827727136262,1.4891948949210407,0.41790829172385435,0.4101335140625526,0.4161500409165795,0.5153637683698817,1.754977234431795,0.4891993484695554,29,50,340.12963700294495,0.13914012908935547,339.9904968738556,64,0.01,0.1,0.0,true
6,0.40406037685372476,0.420527562950074,-0.15979891984210326,1.4337042300620455,1.4147827727136262,1.7038451707895743,0.39880023424371314,0.4101335140625526,-0.0681765767532263,0.5153637683698817,1.754977234431795,0.4891993484695554,12,50,372.6643440723419,0.14048409461975098,372.52385997772217,64,0.01,0.1,0.0,false
7,0.4214075907371748,0.420527562950074,0.41849026643422915,1.43173588768579,1.4147827727136262,1.4623723456470765,0.4120549403300122,0.4101335140625526,0.41045941860672475,0.5153637683698817,1.754977234431795,0.4891993484695554,27,51,344.2229778766632,0.14081287384033203,344.0821650028229,64,0.01,0.02,0.0,true
8,0.4003695022568883,0.420527562950074,0.20378925574772544,1.4148410657215797,1.4147827727136262,1.5297488865119826,0.4006854461518501,0.4101335140625526,0.22589606718982314,0.5153637683698817,1.754977234431795,0.4891993484695554,15,45,328.25750398635864,0.1390399932861328,328.1184639930725,64,0.01,0.02,0.0,false
9,0.39397561171941353,0.420527562950074,0.361542589168129,1.4816194660931137,1.4147827727136262,1.5360206652584116,0.40519877690496786,0.4101335140625526,0.3651301428868745,0.5153637683698817,1.754977234431795,0.4891993484695554,5,47,323.46233582496643,0.14181804656982422,323.3205177783966,64,0.01,0.0,0.001,true
10,0.3646154689969969,0.420527562950074,0.1877757095155459,1.544408158150131,1.4147827727136262,1.7549728403176736,0.3196697662471306,0.4101335140625526,0.17358184644777297,0.5153637683698817,1.754977234431795,0.4891993484695554,7,56,410.73376393318176,0.1408400535583496,410.5929238796234,64,0.01,0.0,0.001,false
11,0.4302932745522181,0.420527562950074,0.3888135426827437,1.4287660695532143,1.4147827727136262,1.5204164456414548,0.4166477573322305,0.4101335140625526,0.38712576763427853,0.5153637683698817,1.754977234431795,0.4891993484695554,13,61,412.8984432220459,0.14189481735229492,412.7565484046936,64,0.01,0.5,0.001,true
12,0.37195159790970433,0.420527562950074,0.230104480021738,1.5064122011821595,1.4147827727136262,1.7513926589092481,0.3697782972694015,0.4101335140625526,0.20797284001207883,0.5153637683698817,1.754977234431795,0.4891993484695554,9,58,411.05699491500854,0.1395571231842041,410.91743779182434,64,0.01,0.5,0.001,false
13,0.4338156555917785,0.420527562950074,0.4212783451999329,1.4825731941617915,1.4147827727136262,1.4936109769220405,0.41964602889202807,0.4101335140625526,0.41285519925186787,0.5153637683698817,1.754977234431795,0.4891993484695554,30,49,338.70535016059875,0.13915801048278809,338.56619215011597,64,0.01,0.1,0.001,true
14,0.40399568244244755,0.420527562950074,0.25870415851005046,1.4337045159718933,1.4147827727136262,1.705565102426239,0.3987998776060837,0.4101335140625526,0.21616649697102086,0.5153637683698817,1.754977234431795,0.4891993484695554,12,53,353.28537106513977,0.14032411575317383,353.1450469493866,64,0.01,0.1,0.001,false
15,0.4199870784853328,0.420527562950074,0.4184901338400233,1.4623971217842868,1.4147827727136262,1.468338498638821,0.4114287004870383,0.4101335140625526,0.4104593934151075,0.5153637683698817,1.754977234431795,0.4891993484695554,36,51,346.3198459148407,0.14121389389038086,346.1786320209503,64,0.01,0.02,0.001,true
16,0.40036952272027015,0.420527562950074,0.36273695228560565,1.414841485710589,1.4147827727136262,1.5251553301344973,0.4006854445005581,0.4101335140625526,0.3528640060372328,0.5153637683698817,1.754977234431795,0.4891993484695554,15,52,347.48857402801514,0.13981103897094727,347.3487629890442,64,0.01,0.02,0.001,false
17,0.39590895407714344,0.420527562950074,0.346940053618795,1.4771441446552163,1.4147827727136262,1.4502223927052498,0.40109499577827745,0.4101335140625526,0.36085737138314267,0.5153637683698817,1.754977234431795,0.4891993484695554,5,38,279.34800481796265,0.14068889617919922,279.20731592178345,64,0.01,0.0,0.1,true
18,0.33592639830473847,0.420527562950074,0.3359640787964444,1.5084178285215746,1.4147827727136262,1.5058535654403142,0.34476782272322737,0.4101335140625526,0.34475679923570146,0.5153637683698817,1.754977234431795,0.4891993484695554,43,51,345.8396589756012,0.14020800590515137,345.69945096969604,64,0.01,0.0,0.1,false
19,0.4323631988516565,0.420527562950074,0.40538837356319846,1.429199061520178,1.4147827727136262,1.4909957291309448,0.416569022703291,0.4101335140625526,0.4009776326511323,0.5153637683698817,1.754977234431795,0.4891993484695554,13,57,373.8471338748932,0.13909697532653809,373.70803689956665,64,0.01,0.5,0.1,true
20,0.38913505534343584,0.420527562950074,0.3848026336921113,1.5741833759792319,1.4147827727136262,1.5757691433848837,0.36685027008525006,0.4101335140625526,0.3591263638417248,0.5153637683698817,1.754977234431795,0.4891993484695554,53,62,405.598051071167,0.14065194129943848,405.45739912986755,64,0.01,0.5,0.1,false
21,0.43378471586944234,0.420527562950074,0.4159290451797779,1.4704569300660095,1.4147827727136262,1.4716899484598507,0.41949777503547936,0.4101335140625526,0.4110564564848558,0.5153637683698817,1.754977234431795,0.4891993484695554,28,55,367.62569999694824,0.14156794548034668,367.4841320514679,64,0.01,0.1,0.1,true
22,0.4193264639992975,0.420527562950074,0.41713234155242906,1.5494661870930955,1.4147827727136262,1.5483446767609954,0.3957462195596877,0.4101335140625526,0.394224577723709,0.5153637683698817,1.754977234431795,0.4891993484695554,43,65,425.39224100112915,0.13924908638000488,425.25299191474915,64,0.01,0.1,0.1,false
23,0.4214008358161203,0.420527562950074,0.41815004864967187,1.4319010741950162,1.4147827727136262,1.4562882201280236,0.4120525861601134,0.4101335140625526,0.41059158037082955,0.5153637683698817,1.754977234431795,0.4891993484695554,27,51,341.384281873703,0.1591479778289795,341.225133895874,64,0.01,0.02,0.1,true
