a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_train_time,b_train_time_WS,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
1,0.41909168710646105,0.42052756295008153,0.42014976987521924,1.4429883158539436,1.4147827727147355,1.4551258783463044,0.4093797869502527,0.4101335140625706,0.39713295172029595,0.5153637683698885,1.7549772350927482,0.48919934846955315,65,201,2312.662307024002,0,2312.662307024002,64,0.001,0,0.0,true
2,0.4198597963205454,0.42052756295008153,0.4159487791603944,1.4405262363165088,1.4147827727147355,1.4678963342789961,0.4085208743504749,0.4101335140625706,0.402940646473547,0.5153637683698885,1.7549772350927482,0.48919934846955315,8,201,2341.063194990158,0,2341.063194990158,64,0.003,0,0.0,true
3,0.4154270273646232,0.42052756295008153,0.4228547343502329,1.4703678495754833,1.4147827727147355,1.478355728094063,0.4084037072806117,0.4101335140625706,0.4032074981319378,0.5153637683698885,1.7549772350927482,0.48919934846955315,14,201,2310.2274131774902,0,2310.2274131774902,64,0.01,0,0.0,true
4,0.4159488580638482,0.42052756295008153,0.4127373013712943,1.467645664869874,1.4147827727147355,1.4933146248999787,0.4070967042530853,0.4101335140625706,0.39347118022006833,0.5153637683698885,1.7549772350927482,0.48919934846955315,4,201,2313.1420879364014,0,2313.1420879364014,64,0.03,0,0.0,true
5,0.4141730731694626,0.42052756295008153,0.2635199627259619,1.4177240812352387,1.4147827727147355,1.168906475890866,0.40397484689172747,0.4101335140625706,0.2626667757862715,0.5153637683698885,1.7549772350927482,0.48919934846955315,1,201,2343.688632965088,0,2343.688632965088,64,0.1,0,0.0,true
6,0.4141730731694626,0.42052756295008153,0.19747942490032067,1.4177240812352387,1.4147827727147355,1.0196956051572164,0.40397484689172747,0.4101335140625706,0.19721946978771232,0.5153637683698885,1.7549772350927482,0.48919934846955315,1,201,2433.5178921222687,0,2433.5178921222687,64,0.3,0,0.0,true
7,0.4190917137940493,0.42052756295008153,0.42014970761744297,1.4429859067098558,1.4147827727147355,1.4545705700297504,0.4093771706189615,0.4101335140625706,0.39713284603134635,0.5153637683698885,1.7549772350927482,0.48919934846955315,65,201,2291.3923070430756,0,2291.3923070430756,64,0.001,0,1.0e-5,true
8,0.4198597959052144,0.42052756295008153,0.41594906831296585,1.4405974157000019,1.4147827727147355,1.4678707868786507,0.4085197444452242,0.4101335140625706,0.4029363091189946,0.5153637683698885,1.7549772350927482,0.48919934846955315,8,201,2286.6048278808594,0,2286.6048278808594,64,0.003,0,1.0e-5,true
9,0.416762474180155,0.42052756295008153,0.422854998586095,1.470366784461448,1.4147827727147355,1.4799462841607962,0.4072010607321843,0.4101335140625706,0.40320742640968055,0.5153637683698885,1.7549772350927482,0.48919934846955315,18,201,2292.0957911014557,0,2292.0957911014557,64,0.01,0,1.0e-5,true
10,0.4159488040258972,0.42052756295008153,0.413310335814028,1.467644676473821,1.4147827727147355,1.4933185896001593,0.4065619451307527,0.4101335140625706,0.3934566934185586,0.5153637683698885,1.7549772350927482,0.48919934846955315,4,201,2309.9886949062347,0,2309.9886949062347,64,0.03,0,1.0e-5,true
11,0.4141730731694626,0.42052756295008153,0.2635208516450449,1.4177240812352387,1.4147827727147355,1.1688771547727663,0.40397484689172747,0.4101335140625706,0.2631526892289493,0.5153637683698885,1.7549772350927482,0.48919934846955315,1,201,2340.1861250400543,0,2340.1861250400543,64,0.1,0,1.0e-5,true
12,0.4141730731694626,0.42052756295008153,0.18881699950727748,1.4177240812352387,1.4147827727147355,1.016757270602529,0.40397484689172747,0.4101335140625706,0.197537242985651,0.5153637683698885,1.7549772350927482,0.48919934846955315,1,201,2441.506614923477,0,2441.506614923477,64,0.3,0,1.0e-5,true
13,0.4198599041986246,0.42052756295008153,0.42014873235678496,1.4403351379750289,1.4147827727147355,1.4546296353293622,0.4090194763905004,0.4101335140625706,0.39713234207204673,0.5153637683698885,1.7549772350927482,0.48919934846955315,49,201,2277.6535539627075,0,2277.6535539627075,64,0.001,0,0.0001,true
14,0.41985982713505865,0.42052756295008153,0.4159673840986824,1.4405938634306814,1.4147827727147355,1.4678071796986978,0.40852251256022565,0.4101335140625706,0.4029294538795378,0.5153637683698885,1.7549772350927482,0.48919934846955315,8,201,2281.12211894989,0,2281.12211894989,64,0.003,0,0.0001,true
15,0.41944174806942236,0.42052756295008153,0.42378805284428833,1.436473414006148,1.4147827727147355,1.4767694130467164,0.4068118705455528,0.4101335140625706,0.4032075201779046,0.5153637683698885,1.7549772350927482,0.48919934846955315,2,201,2340.1345598697662,0,2340.1345598697662,64,0.01,0,0.0001,true
16,0.4159495571406908,0.42052756295008153,0.4176753913959159,1.4665045229582399,1.4147827727147355,1.491479638387299,0.40711043492347465,0.4101335140625706,0.39080103424820245,0.5153637683698885,1.7549772350927482,0.48919934846955315,4,201,2343.302514076233,0,2343.302514076233,64,0.03,0,0.0001,true
17,0.4141730731694626,0.42052756295008153,0.25886972964724264,1.4177240812352387,1.4147827727147355,1.1722720225714527,0.40397484689172747,0.4101335140625706,0.2627052595419874,0.5153637683698885,1.7549772350927482,0.48919934846955315,1,201,2359.612827062607,0,2359.612827062607,64,0.1,0,0.0001,true
18,0.4141730731694626,0.42052756295008153,0.18653363389781652,1.4177240812352387,1.4147827727147355,1.0183095306435748,0.40397484689172747,0.4101335140625706,0.19517792799508604,0.5153637683698885,1.7549772350927482,0.48919934846955315,1,201,2412.9389169216156,0,2412.9389169216156,64,0.3,0,0.0001,true
19,0.41985887376075137,0.42052756295008153,0.41650751381713813,1.435512857777245,1.4147827727147355,1.4526058953958376,0.40902324942937396,0.4101335140625706,0.40077606840125646,0.5153637683698885,1.7549772350927482,0.48919934846955315,55,201,2310.0626890659332,0,2310.0626890659332,64,0.001,0,0.001,true
20,0.41985899786206504,0.42052756295008153,0.4163578638783332,1.4355139867009985,1.4147827727147355,1.4697238651421527,0.4090332988342764,0.4101335140625706,0.4009486722445075,0.5153637683698885,1.7549772350927482,0.48919934846955315,9,201,2331.6765780448914,0,2331.6765780448914,64,0.003,0,0.001,true
21,0.4194417412780206,0.42052756295008153,0.4212083170895222,1.436473236629451,1.4147827727147355,1.4706590818051142,0.4068117840683505,0.4101335140625706,0.4047986423146861,0.5153637683698885,1.7549772350927482,0.48919934846955315,2,201,2347.124670982361,0,2347.124670982361,64,0.01,0,0.001,true
22,0.41941961484886026,0.42052756295008153,0.42089389081477147,1.475926610820978,1.4147827727147355,1.4908440886519845,0.4069808205744241,0.4101335140625706,0.4016867360650682,0.5153637683698885,1.7549772350927482,0.48919934846955315,82,201,2306.3335149288177,0,2306.3335149288177,64,0.03,0,0.001,true
23,0.4141730731694626,0.42052756295008153,0.3553283970812626,1.4177240812352387,1.4147827727147355,1.4130633358740567,0.40397484689172747,0.4101335140625706,0.34368272355131424,0.5153637683698885,1.7549772350927482,0.48919934846955315,1,201,2365.9224348068237,0,2365.9224348068237,64,0.1,0,0.001,true
24,0.4141730731694626,0.42052756295008153,0.20173373779413528,1.4177240812352387,1.4147827727147355,1.0275279432076596,0.40397484689172747,0.4101335140625706,0.21046573112127032,0.5153637683698885,1.7549772350927482,0.48919934846955315,1,201,2443.892935037613,0,2443.892935037613,64,0.3,0,0.001,true
