a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws
1,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,218.673654794693,1661.0700390338898,901.6760177612305,520.5945210456848,1442.3963842391968,1,0,0.0,0.1,true,true
2,0.40755108040464494,0.420527562950074,0.40755113476998894,1.162139142284758,1.4147827727136262,1.162139426034086,0.3952562686737293,0.4101335140625526,0.39525632525826215,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.141953706741333,1837.053517818451,1295.9118084907532,521.0971300601959,1836.9115641117096,1,0,0.0,0.1,true,false
3,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,226.22296524047852,1628.0359330177307,805.1256875991821,575.9186820983887,1401.8129677772522,1,0,0.5,0.1,true,true
4,0.41262200329511245,0.420527562950074,0.4126234985362123,1.1520642803962655,1.4147827727136262,1.152061685046549,0.4015877922869371,0.4101335140625526,0.4015890623778875,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14346528053283691,1764.2410612106323,1207.8227715492249,536.2189538478851,1764.0975959300995,1,0,0.5,0.1,true,false
5,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,235.18158149719238,1603.787626028061,834.8788650035858,513.1954181194305,1368.6060445308685,1,0,0.1,0.1,true,true
6,0.404935837529671,0.420527562950074,0.4049367459502107,1.1424295341439334,1.4147827727136262,1.1424283211441333,0.39723219828036993,0.4101335140625526,0.39723298703965093,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14461183547973633,1722.1653771400452,1134.5805661678314,567.1659030914307,1722.0207653045654,1,0,0.1,0.1,true,false
7,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,224.09520840644836,1585.233286857605,792.0687782764435,547.6868090629578,1361.1380784511566,1,0,0.02,0.1,true,true
8,0.4126458056572302,0.420527562950074,0.4126461576426266,1.1520033054581225,1.4147827727136262,1.1520039349698488,0.4016076131022466,0.4101335140625526,0.40160793985004317,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14285516738891602,1718.435486793518,1108.103541135788,589.9726569652557,1718.2926316261292,1,0,0.02,0.1,true,false
9,0.41417307316944996,0.420527562950074,0.4141721599647825,1.4177240812340015,1.4147827727136262,1.4177273044325824,0.4039748468917197,0.4101335140625526,0.40397516545909085,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,186.25232648849487,1393.1667499542236,836.4647316932678,350.37865591049194,1206.9144234657288,2,0,0.0,0.1,true,true
10,0.3867595917638824,0.420527562950074,0.3867602376011334,1.1149477783813406,1.4147827727136262,1.114948252560099,0.3777812887025347,0.4101335140625526,0.37778187779452854,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1432356834411621,1492.1126580238342,1160.6117672920227,314.00432801246643,1491.969422340393,2,0,0.0,0.1,true,false
