a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws,regret_test,regret_val
44,0.438044096,0.420527563,0.438044364,1.439758168,1.414782773,1.439759654,0.426505424,0.410133514,0.42650578,0.515363768,1.754977234,0.489199348,1,1,0.143451929,1833.85273,1600.630767,214.9004469,1833.709278,32,0,0.5,0.1,TRUE,FALSE,0.077319673,0.062693924
45,0.43941697,0.420527563,0.439418032,1.478366966,1.414782773,1.478367179,0.422103798,0.410133514,0.422105021,0.515363768,1.754977234,0.489199348,1,1,145.7201321,2016.647307,1664.88763,186.4563282,1870.927175,32,0,0.1,0.1,TRUE,TRUE,0.075946798,0.06709555
36,0.439501775,0.420527563,0.439502302,1.447995209,1.414782773,1.447995106,0.420936947,0.410133514,0.420937319,0.515363768,1.754977234,0.489199348,1,1,0.143242121,2423.977523,2192.643386,217.5599968,2423.834281,16,0,0.5,0.1,TRUE,FALSE,0.075861994,0.068262401
27,0.433321499,0.420527563,0.433321134,1.430151594,1.414782773,1.430152096,0.419677722,0.410133514,0.419678017,0.515363768,1.754977234,0.489199348,1,1,20.05765367,2928.26285,2473.9124,420.658803,2908.205196,8,0,0.5,0.1,TRUE,TRUE,0.082042269,0.069521627
43,0.436970422,0.420527563,0.436970257,1.423345045,1.414782773,1.423345564,0.419540376,0.410133514,0.41954068,0.515363768,1.754977234,0.489199348,1,1,148.7839849,2037.380311,1686.222763,188.0414338,1888.596326,32,0,0.5,0.1,TRUE,TRUE,0.078393347,0.069658972
52,0.437419708,0.420527563,0.437419903,1.426662076,1.414782773,1.426662648,0.419471435,0.410133514,0.419471707,0.515363768,1.754977234,0.489199348,1,1,0.143997192,1745.469364,1615.017157,110.129807,1745.325367,64,0,0.5,0.1,TRUE,FALSE,0.077944061,0.069727913
51,0.437419708,0.420527563,0.437419903,1.426662075,1.414782773,1.426662648,0.419471435,0.410133514,0.419471707,0.515363768,1.754977234,0.489199348,1,1,532.116698,2139.173324,1530.219503,62.51182795,1607.056626,64,0,0.5,0.1,TRUE,TRUE,0.077944061,0.069727913
30,0.432944999,0.420527563,0.432945334,1.445645365,1.414782773,1.445645686,0.419111114,0.410133514,0.419111359,0.515363768,1.754977234,0.489199348,1,1,0.143160105,2912.33378,2472.634141,425.7858181,2912.19062,8,0,0.1,0.1,TRUE,FALSE,0.082418769,0.070088234
46,0.434908057,0.420527563,0.434908331,1.480540046,1.414782773,1.480541132,0.418982835,0.410133514,0.418983194,0.515363768,1.754977234,0.489199348,1,1,0.144187212,1994.036225,1784.200641,193.724102,1993.892038,32,0,0.1,0.1,TRUE,FALSE,0.080455711,0.070216514
35,0.417423411,0.420527563,0.417424001,1.455132732,1.414782773,1.455132384,0.418841678,0.410133514,0.418842697,0.515363768,1.754977234,0.489199348,1,1,31.1654191,2401.931181,2146.325534,211.2461131,2370.765762,16,0,0.5,0.1,TRUE,TRUE,0.097940358,0.07035767
12,0.430259107,0.420527563,0.430264774,1.397112528,1.414782773,1.397113433,0.418829022,0.410133514,0.418830656,0.515363768,1.754977234,0.489199348,1,1,0.143332243,7371.434936,5677.195946,1679.97548,7371.291604,2,0,0.5,0.1,TRUE,FALSE,0.085104661,0.070370327
11,0.430259107,0.420527563,0.430264774,1.397112528,1.414782773,1.397113435,0.418829022,0.410133514,0.418830656,0.515363768,1.754977234,0.489199348,1,1,20.19752097,7476.503252,5717.684893,1724.65804,7456.305731,2,0,0.5,0.1,TRUE,TRUE,0.085104661,0.070370327
