a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws
1,0.2862946104563828,0.420527562950074,0.2863162273249673,0.7721446389456323,1.4147827727136262,0.7726105459379182,0.2849970815584737,0.4101335140625526,0.2853017701248226,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,18.006235122680664,3692.5143258571625,2315.858299970627,1345.1131489276886,3674.508090734482,2,0,0.0,0.1,true,true
2,0.30493072922226294,0.420527562950074,0.3051137652624438,0.9731861313195047,1.4147827727136262,0.973546100536641,0.30163908416219143,0.4101335140625526,0.3017136834064622,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14309382438659668,3668.6982820034027,2326.90110707283,1328.3798248767853,3668.555188179016,2,0,0.0,0.1,true,false
3,0.4225762706505858,0.420527562950074,0.42257940598238264,1.4322379292195913,1.4147827727136262,1.4322414669156305,0.41501184187190976,0.4101335140625526,0.4150131121707443,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,19.19602632522583,3613.3911559581757,2303.3578794002533,1277.139189004898,3594.19512963295,2,0,0.5,0.1,true,true
4,0.4199370054202818,0.420527562950074,0.4199332569895249,1.4232634477739707,1.4147827727136262,1.423263635950323,0.41408126599335704,0.4101335140625526,0.41408228129090063,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1425914764404297,3608.34059381485,2331.9378142356873,1262.262578010559,3608.1980023384094,2,0,0.5,0.1,true,false
5,0.4259574194030018,0.420527562950074,0.42595853869621525,1.4235081458151786,1.4147827727136262,1.4235086260190286,0.4142706504653948,0.4101335140625526,0.4142712623797169,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,17.975252866744995,3644.697704076767,2323.1032361984253,1289.5045218467712,3626.722451210022,2,0,0.1,0.1,true,true
6,0.42823002705535695,0.420527562950074,0.4282305536800195,1.4495894120371107,1.4147827727136262,1.4495911696854882,0.41668555299302934,0.4101335140625526,0.41668594459689134,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1453869342803955,3677.9166719913483,2335.6805560588837,1328.266023159027,3677.771285057068,2,0,0.1,0.1,true,false
7,0.42490320849158114,0.420527562950074,0.42490390046584814,1.4177379244466337,1.4147827727136262,1.4177393180684659,0.4123029072915143,0.4101335140625526,0.4123035451259778,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,18.98799705505371,3650.947783946991,2286.9090116024017,1331.2115819454193,3631.9597868919373,2,0,0.02,0.1,true,true
8,0.410299751887899,0.420527562950074,0.41029994454712604,1.4239307957001968,1.4147827727136262,1.4239325062368913,0.4113907382180799,0.4101335140625526,0.4113910214718921,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1439664363861084,3715.247298002243,2372.875497341156,1328.4826939105988,3715.103331565857,2,0,0.02,0.1,true,false
9,0.33682601315891936,0.420527562950074,0.3368684845717349,0.9608683510262184,1.4147827727136262,0.9609874865738322,0.33957562257022644,0.4101335140625526,0.3396098678216761,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,13.223363399505615,2012.867597103119,1314.833901643753,671.1400852203369,1999.6442337036133,4,0,0.0,0.1,true,true
10,0.35474494124666767,0.420527562950074,0.354740620019413,1.0143462698454604,1.4147827727136262,1.0143660546371338,0.350361045526961,0.4101335140625526,0.3503688563201788,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1787431240081787,1965.1063010692596,1292.2034618854523,659.0625810623169,1964.9275579452515,4,0,0.0,0.1,true,false
