a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws
1,0.3867698593848896,0.420527562950074,0.3867698145051299,1.1149535316976467,1.4147827727136262,1.114952657216139,0.37779056955145784,0.4101335140625526,0.3777905183612851,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,117.16052341461182,9057.19092798233,7449.831659793854,1473.505959033966,8940.030404567719,2,0,0.0,0.1,true,true
2,0.38676641633372966,0.420527562950074,0.3867665185412503,1.1149395582427335,1.4147827727136262,1.1149398865082594,0.3777870259008298,0.4101335140625526,0.37778713094200667,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14346003532409668,9266.457156896591,7708.938904762268,1540.1833798885345,9266.313696861267,2,0,0.0,0.1,true,false
3,0.4002700433375159,0.420527562950074,0.40027417823585765,1.1302382516140304,1.4147827727136262,1.1302367886034412,0.397597974709885,0.4101335140625526,0.39760329494405977,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,111.19674634933472,8995.225025892258,7551.756256818771,1315.036838054657,8884.028279542923,2,0,0.5,0.1,true,true
4,0.40144197865086606,0.420527562950074,0.40143469259618025,1.4023002139339953,1.4147827727136262,1.4023041869197073,0.3975429399708712,0.4101335140625526,0.39754430826193854,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14168596267700195,8865.060782909393,7536.686782360077,1311.5753099918365,8864.919096946716,2,0,0.5,0.1,true,false
5,0.42362733376548456,0.420527562950074,0.4236272891604924,1.42109853461917,1.4147827727136262,1.4211011445040462,0.41425135910518174,0.4101335140625526,0.4142521289027672,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,112.6797149181366,8752.051403999329,7320.531679868698,1302.573781967163,8639.371689081192,2,0,0.1,0.1,true,true
6,0.4369570907693634,0.420527562950074,0.43695751663189,1.4365497454561602,1.4147827727136262,1.4365503259781507,0.41280857814313876,0.4101335140625526,0.41280905947417246,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14237022399902344,9260.038573026657,7945.323621511459,1298.232281923294,9259.896202802658,2,0,0.1,0.1,true,false
7,0.41862181710172464,0.420527562950074,0.4186221673481896,1.4308509507811946,1.4147827727136262,1.430851604897541,0.41005322712096515,0.4101335140625526,0.41005375756876816,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,127.54755997657776,8639.16544008255,7174.769030094147,1319.535728931427,8511.617880105972,2,0,0.02,0.1,true,true
8,0.4193356500703964,0.420527562950074,0.4193360092278804,1.425989424924687,1.4147827727136262,1.4259902881981623,0.4123494484357948,0.4101335140625526,0.41235068199221003,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1420600414276123,9145.87473988533,7769.584357500076,1359.2688150405884,9145.732679843903,2,0,0.02,0.1,true,false
9,0.36458789457827967,0.420527562950074,0.36458796470507693,1.0032336669916155,1.4147827727136262,1.0032335543387907,0.35316680159965275,0.4101335140625526,0.35316686399476604,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,116.21778559684753,7365.0841109752655,6488.830409288406,742.7625181674957,7248.866325378418,4,0,0.0,0.1,true,true
10,0.371756618835442,0.420527562950074,0.3717566454195522,1.0678394360811545,1.4147827727136262,1.0678394830456597,0.36301022597898625,0.4101335140625526,0.3630102663134811,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14293599128723145,7501.841457128525,6743.481711387634,740.9994621276855,7501.698521137238,4,0,0.0,0.1,true,false
11,0.41412520902091954,0.420527562950074,0.414125507670847,1.3542472776542303,1.4147827727136262,1.3542510327157062,0.40229940973342604,0.4101335140625526,0.4023001204830965,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,120.06341099739075,7039.511065006256,6253.684735536575,648.9009058475494,6919.447654008865,4,0,0.5,0.1,true,true
12,0.42376222126683705,0.420527562950074,0.423763066736927,1.4377186248932867,1.4147827727136262,1.4377192018181342,0.40796844759020545,0.4101335140625526,0.40796913702556714,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.14194297790527344,7481.878392934799,6808.665972232819,656.2421491146088,7481.736449956894,4,0,0.5,0.1,true,false
13,0.4362612719548473,0.420527562950074,0.4362616252557703,1.4516690361374902,1.4147827727136262,1.4516694369524399,0.4168273423958957,0.4101335140625526,0.41682784152517227,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,122.73366689682007,6847.1769070625305,6055.1732268333435,652.6970679759979,6724.44324016571,4,0,0.1,0.1,true,true
14,0.4314214828441325,0.420527562950074,0.431421257412929,1.444368067180994,1.4147827727136262,1.4443685297533113,0.41943476265779966,0.4101335140625526,0.4194351451441607,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.1419200897216797,7152.699749946594,6486.227826595306,649.7893960475922,7152.557829856873,4,0,0.1,0.1,true,false
15,0.42939076614488636,0.420527562950074,0.4293910953704194,1.4310261004517106,1.4147827727136262,1.4310247094898956,0.41386562760032874,0.4101335140625526,0.41386602225631197,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,120.31216788291931,6923.224638938904,6118.83348274231,666.7244791984558,6802.9124710559845,4,0,0.02,0.1,true,true
16,0.42615980540096343,0.420527562950074,0.4261605336812888,1.4260736613480622,1.4147827727136262,1.4260740697681626,0.4165793607236046,0.4101335140625526,0.4165798686527218,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,0.143890380859375,7683.292438983917,7016.648935317993,649.705687046051,7683.148548603058,4,0,0.02,0.1,true,false
