a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws,regret_test,regret_val
26,0.433816245,0.420527563,0.433816718,1.482583249,1.414782773,1.482582775,0.417566683,0.410133514,0.417564556,0.515363768,1.754977234,0.489199348,1,1,0.146097898,182.0522029,134.3679662,26.17603016,181.906105,64,0,0.1,0,TRUE,FALSE,0.081547523,0.071632666
25,0.433444224,0.420527563,0.433444468,1.481630232,1.414782773,1.481630002,0.417521678,0.410133514,0.417521692,0.515363768,1.754977234,0.489199348,1,1,488.941252,519.1657162,10.00320101,7.474251986,30.22446418,64,0,0.1,0,TRUE,TRUE,0.081919545,0.07167767
5,0.438333482,0.420527563,0.43833362,1.442864881,1.414782773,1.442865842,0.415664414,0.410133514,0.415664591,0.515363768,1.754977234,0.489199348,1,1,53.13001299,188.950877,58.54675102,60.65518188,135.820864,16,0,0.5,0,TRUE,TRUE,0.077030286,0.073534934
53,0.432362093,0.420527563,0.43236249,1.422770724,1.414782773,1.422771485,0.415114015,0.410133514,0.415114452,0.515363768,1.754977234,0.489199348,1,1,462.5377541,509.0850179,23.97880316,9.840921164,46.54726386,64,0,0.5,0.1,TRUE,TRUE,0.083001675,0.074085333
6,0.42699834,0.420527563,0.426998598,1.433802778,1.414782773,1.433803524,0.413837621,0.410133514,0.413837987,0.515363768,1.754977234,0.489199348,1,1,0.146028757,235.099014,142.038157,77.48811197,234.9529853,16,0,0.5,0,TRUE,FALSE,0.088365429,0.075361727
46,0.427785075,0.420527563,0.427785719,1.439729941,1.414782773,1.43973024,0.413623842,0.410133514,0.413624465,0.515363768,1.754977234,0.489199348,1,1,0.146076918,230.2961731,151.8996933,62.52076101,230.1500962,16,0,0.02,0.1,TRUE,FALSE,0.087578693,0.075575506
42,0.426019123,0.420527563,0.426019522,1.438308716,1.414782773,1.438309167,0.41340959,0.410133514,0.413410053,0.515363768,1.754977234,0.489199348,1,1,0.147018433,190.1386189,98.10122585,74.24915099,189.9916005,16,0,0.1,0.1,TRUE,FALSE,0.089344645,0.075789759
21,0.435461501,0.420527563,0.435461652,1.438801233,1.414782773,1.438801978,0.413235656,0.410133514,0.413236008,0.515363768,1.754977234,0.489199348,1,1,490.995549,523.8714569,12.62494397,7.603179216,32.8759079,64,0,0.5,0,TRUE,TRUE,0.079902267,0.075963692
61,0.416158754,0.420527563,0.416159233,1.458755188,1.414782773,1.458755734,0.413203144,0.410133514,0.413203581,0.515363768,1.754977234,0.489199348,1,1,481.7937939,522.719228,19.49822593,8.694320917,40.92543411,64,0,0.02,0.1,TRUE,TRUE,0.099205014,0.075996205
38,0.436171246,0.420527563,0.436171642,1.440892098,1.414782773,1.440892093,0.412379089,0.410133514,0.412378677,0.515363768,1.754977234,0.489199348,1,1,0.182543993,232.9372232,138.9314899,74.6849401,232.7546792,16,0,0.5,0.1,TRUE,FALSE,0.079192522,0.07682026
14,0.420275416,0.420527563,0.420275339,1.455368827,1.414782773,1.455369173,0.412169054,0.410133514,0.412169279,0.515363768,1.754977234,0.489199348,1,1,0.145929098,191.270134,120.1427109,51.06950808,191.1242049,16,0,0.02,0,TRUE,FALSE,0.095088352,0.077030294
10,0.431735421,0.420527563,0.431736053,1.44773862,1.414782773,1.44773934,0.41207533,0.410133514,0.412075572,0.515363768,1.754977234,0.489199348,1,1,0.146000385,220.79322,117.0463595,85.8404119,220.6472197,16,0,0.1,0,TRUE,FALSE,0.083628348,0.077124019
