a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts,hp_ws,regret_test,regret_val
37,0.433153529,0.420527563,0.433153471,1.447000235,1.414782773,1.446999646,0.421803248,0.410133514,0.42180349,0.515363768,1.754977234,0.489199348,1,1,49.10611296,1295.033095,1040.323306,191.65347,1245.926982,16,0,0.5,0.1,TRUE,TRUE,0.082210239,0.067396101
5,0.42730105,0.420527563,0.427301146,1.444759529,1.414782773,1.444760374,0.421402365,0.410133514,0.421402586,0.515363768,1.754977234,0.489199348,1,1,48.80653691,1258.894417,1000.362043,195.61431,1210.08788,16,0,0.5,0,TRUE,TRUE,0.088062718,0.067796983
41,0.435294132,0.420527563,0.435294431,1.447260593,1.414782773,1.447260533,0.419666054,0.410133514,0.419666259,0.515363768,1.754977234,0.489199348,1,1,51.04573321,1315.475708,1057.82748,192.8179779,1264.429975,16,0,0.1,0.1,TRUE,TRUE,0.080069637,0.069533294
38,0.426303402,0.420527563,0.426303675,1.418782859,1.414782773,1.418783563,0.418195832,0.410133514,0.418196388,0.515363768,1.754977234,0.489199348,1,1,0.198383331,1310.69565,1102.954488,194.1716158,1310.497267,16,0,0.5,0.1,TRUE,FALSE,0.089060366,0.071003517
25,0.433444022,0.420527563,0.433444389,1.48171568,1.414782773,1.481715773,0.417913012,0.410133514,0.41791343,0.515363768,1.754977234,0.489199348,1,1,744.5033901,1269.158871,472.8902872,38.579638,524.6554809,64,0,0.1,0,TRUE,TRUE,0.081919747,0.071286336
26,0.433444022,0.420527563,0.433444389,1.48171568,1.414782773,1.481715773,0.417913012,0.410133514,0.41791343,0.515363768,1.754977234,0.489199348,1,1,0.147808075,799.5791731,663.92765,109.5254619,799.431365,64,0,0.1,0,TRUE,FALSE,0.081919747,0.071286336
54,0.439241706,0.420527563,0.439241962,1.436132852,1.414782773,1.436135689,0.417489439,0.410133514,0.417489642,0.515363768,1.754977234,0.489199348,1,1,0.144944906,824.776298,676.2667692,120.1603432,824.6313531,64,0,0.5,0.1,TRUE,FALSE,0.076122063,0.071709909
53,0.439241706,0.420527563,0.439241962,1.436132852,1.414782773,1.436135689,0.417489439,0.410133514,0.417489642,0.515363768,1.754977234,0.489199348,1,1,748.315722,1275.013027,473.4403369,40.05062389,526.697305,64,0,0.5,0.1,TRUE,TRUE,0.076122063,0.071709909
21,0.438227076,0.420527563,0.438227304,1.429467758,1.414782773,1.429468433,0.417489216,0.410133514,0.417489516,0.515363768,1.754977234,0.489199348,1,1,757.6760869,1246.802318,435.075274,40.97635102,489.1262312,64,0,0.5,0,TRUE,TRUE,0.077136693,0.071710132
22,0.438227076,0.420527563,0.438227304,1.429467758,1.414782773,1.429468433,0.417489216,0.410133514,0.417489516,0.515363768,1.754977234,0.489199348,1,1,0.144230127,831.9714599,705.1911771,102.1091528,831.8272297,64,0,0.5,0,TRUE,FALSE,0.077136693,0.071710132
57,0.439014202,0.420527563,0.439014412,1.476252074,1.414782773,1.476252574,0.416797299,0.410133514,0.416797684,0.515363768,1.754977234,0.489199348,1,1,750.1491258,1257.983676,452.986563,41.70590806,507.8345501,64,0,0.1,0.1,TRUE,TRUE,0.076349567,0.072402049
58,0.439014202,0.420527563,0.439014412,1.476252074,1.414782773,1.476252574,0.416797299,0.410133514,0.416797684,0.515363768,1.754977234,0.489199348,1,1,0.144849062,839.082015,704.830092,104.5717049,838.937166,64,0,0.1,0.1,TRUE,FALSE,0.076349567,0.072402049
13,0.422735184,0.420527563,0.422735737,1.449408192,1.414782773,1.449410762,0.415666086,0.410133514,0.415666996,0.515363768,1.754977234,0.489199348,1,1,50.62673807,1296.56016,1040.139224,191.7495222,1245.933422,16,0,0.02,0,TRUE,TRUE,0.092628584,0.073533263
10,0.427151889,0.420527563,0.427152325,1.471168187,1.414782773,1.471167998,0.415580136,0.410133514,0.415580575,0.515363768,1.754977234,0.489199348,1,1,0.144028187,1257.835604,1035.968095,207.9431498,1257.691576,16,0,0.1,0,TRUE,FALSE,0.08821188,0.073619212
42,0.433914324,0.420527563,0.433914523,1.45168572,1.414782773,1.451686067,0.415006429,0.410133514,0.415006804,0.515363768,1.754977234,0.489199348,1,1,0.146085978,1313.862399,1120.18341,180.366421,1313.716313,16,0,0.1,0.1,TRUE,FALSE,0.081449444,0.07419292
46,0.419704862,0.420527563,0.419705146,1.430236383,1.414782773,1.430235948,0.4138701,0.410133514,0.413870773,0.515363768,1.754977234,0.489199348,1,1,0.177257776,1308.350177,1102.657552,191.7060478,1308.172919,16,0,0.02,0.1,TRUE,FALSE,0.095658907,0.075329248
6,0.427694249,0.420527563,0.427694023,1.436375505,1.414782773,1.436375214,0.413826428,0.410133514,0.41382734,0.515363768,1.754977234,0.489199348,1,1,0.144439936,1269.529776,1055.708882,200.0473568,1269.385336,16,0,0.5,0,TRUE,FALSE,0.087669519,0.07537292
14,0.413204529,0.420527563,0.413204666,1.437304967,1.414782773,1.437305622,0.413167665,0.410133514,0.41316867,0.515363768,1.754977234,0.489199348,1,1,0.144297123,1257.234622,1033.080924,210.7886701,1257.090325,16,0,0.02,0,TRUE,FALSE,0.102159239,0.076031683
9,0.425924308,0.420527563,0.425924715,1.441650927,1.414782773,1.441651694,0.413006122,0.410133514,0.413006321,0.515363768,1.754977234,0.489199348,1,1,46.41593266,1240.500426,933.7817972,246.5504389,1194.084493,16,0,0.1,0,TRUE,TRUE,0.08943946,0.076193226
45,0.422338566,0.420527563,0.422339065,1.437805154,1.414782773,1.437805668,0.41224004,0.410133514,0.41224058,0.515363768,1.754977234,0.489199348,1,1,50.07986188,1329.743107,1091.79921,174.0413909,1279.663245,16,0,0.02,0.1,TRUE,TRUE,0.093025202,0.076959309
62,0.417319064,0.420527563,0.417319596,1.458003643,1.414782773,1.458004935,0.411359985,0.410133514,0.411360576,0.515363768,1.754977234,0.489199348,1,1,0.146164894,970.380573,837.720222,110.3008609,970.2344081,64,0,0.02,0.1,TRUE,FALSE,0.098044704,0.077839364
61,0.417319064,0.420527563,0.417319596,1.458003643,1.414782773,1.458004935,0.411359985,0.410133514,0.411360576,0.515363768,1.754977234,0.489199348,1,1,756.553941,1292.963015,483.4271491,39.85829401,536.4090741,64,0,0.02,0.1,TRUE,TRUE,0.098044704,0.077839364
30,0.42037814,0.420527563,0.420378509,1.462985056,1.414782773,1.462988157,0.410775097,0.410133514,0.410775178,0.515363768,1.754977234,0.489199348,1,1,0.151371002,918.5692461,792.3997262,103.9665539,918.4178751,64,0,0.02,0,TRUE,FALSE,0.094985629,0.078424251
29,0.42037814,0.420527563,0.420378509,1.462985056,1.414782773,1.462988157,0.410775097,0.410133514,0.410775178,0.515363768,1.754977234,0.489199348,1,1,747.0750549,1273.045759,474.3035581,38.50612998,525.9707043,64,0,0.02,0,TRUE,TRUE,0.094985629,0.078424251
47,0.425493088,0.420527563,0.425493465,1.454310654,1.414782773,1.454311329,0.409460813,0.410133514,0.409461758,0.515363768,1.754977234,0.489199348,1,1,47.49671793,1244.463629,917.127805,266.1001489,1196.966911,16,0,0.02,0.1,FALSE,TRUE,0.08987068,0.079738535
48,0.415849917,0.420527563,0.415850069,1.447271472,1.414782773,1.447271008,0.40838191,0.410133514,0.408382643,0.515363768,1.754977234,0.489199348,1,1,0.144608974,1249.725845,971.1448922,264.5894802,1249.581236,16,0,0.02,0.1,FALSE,FALSE,0.099513851,0.080817439
