a_config,a_profit_train,a_profit_val,a_profit_test,a_profit_RN_train,a_profit_RN_val,a_profit_RN_test,a_profit_RN_train_fc,a_profit_RN_val_fc,a_profit_RN_test_fc,ab_profit_PF_train,ab_profit_PF_val,ab_profit_PF_test,b_train_time,hp_reg,hp_gamma,hp_lr,hp_bs
1,-2.0143394470214844,-0.4579318165779114,-0.42375612258911133,-2.014338970184326,-0.4579316973686218,-0.43438720703125,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,288.6629014015198,0,0.1,5e-06,64
2,-0.6219446659088135,-0.16760948300361633,-0.21909885108470917,-0.6216714382171631,-0.16790401935577393,-0.1819542944431305,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,336.4248080253601,0,0.1,5e-05,64
3,-1.4009555578231812,-0.3396732807159424,-0.38877934217453003,-1.4011707305908203,-0.33852270245552063,-0.38878288865089417,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,332.0605003833771,0,0.3,5e-06,64
4,-1.0007438659667969,-0.34519892930984497,-0.3542686998844147,-1.0007035732269287,-0.34294426441192627,-0.3687518835067749,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,331.1484863758087,0,0.3,5e-05,64
5,-1.2493643760681152,-0.4560212790966034,-0.38955286145210266,-1.2776248455047607,-0.4607696533203125,-0.47042685747146606,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,330.8590250015259,0,1,5e-06,64
6,-0.3988065719604492,-0.2730827033519745,-0.24734598398208618,-0.4058694839477539,-0.26672402024269104,-0.23212933540344238,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,346.173894405365,0,1,5e-05,64
7,-0.9699211716651917,-0.31756219267845154,-0.3110412657260895,-0.9884421825408936,-0.3267972767353058,-0.32027938961982727,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,370.60211062431335,0,3,5e-06,64
8,-0.1723085194826126,-0.1266009509563446,-0.12758585810661316,-0.1760796308517456,-0.11831174790859222,-0.11555032432079315,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,381.9716546535492,0,3,5e-05,64
9,-0.08463788032531738,-0.0820731520652771,-0.11322198808193207,-0.17122530937194824,-0.09146871417760849,-0.09846873581409454,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,361.35058641433716,0,10,5e-06,64
10,0.5925624370574951,-0.06445834040641785,-0.08323109149932861,0.5414354801177979,-0.08395278453826904,-0.07269144058227539,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,379.78967666625977,0,10,5e-05,64
11,-1.0427050590515137,-0.28230777382850647,-0.23667246103286743,-1.042704463005066,-0.2818196415901184,-0.2129705846309662,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,367.3467798233032,0.01,0.1,5e-06,64
12,-0.4885423183441162,-0.18783505260944366,-0.24888703227043152,-0.48853158950805664,-0.18752628564834595,-0.2160537838935852,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,371.6260361671448,0.01,0.1,5e-05,64
13,-0.8218994140625,-0.43027403950691223,-0.44394227862358093,-0.822185754776001,-0.43181493878364563,-0.40610256791114807,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,350.23681831359863,0.01,0.3,5e-06,64
14,-0.9499026536941528,-0.1905246376991272,-0.2128622829914093,-0.9475632309913635,-0.1905258297920227,-0.22005552053451538,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,384.7819468975067,0.01,0.3,5e-05,64
15,-0.9113355278968811,-0.08854374289512634,-0.08968360722064972,-0.9114856719970703,-0.0917673259973526,-0.06499713659286499,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,357.6777286529541,0.01,1,5e-06,64
16,-0.6730715036392212,-0.2625840902328491,-0.27120062708854675,-0.6836272478103638,-0.2628841996192932,-0.23173493146896362,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,375.80647349357605,0.01,1,5e-05,64
17,-0.3136110305786133,-0.24709108471870422,-0.2767193019390106,-0.33013296127319336,-0.2555903196334839,-0.2311042845249176,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,339.91138553619385,0.01,3,5e-06,64
18,0.1693711280822754,-0.2400146722793579,-0.23034383356571198,0.1496117115020752,-0.24944330751895905,-0.20159947872161865,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,383.78263568878174,0.01,3,5e-05,64
19,-1.6778669357299805,-0.3423328101634979,-0.3155457675457001,-1.7775545120239258,-0.36688876152038574,-0.35457149147987366,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,412.70368480682373,0.01,10,5e-06,64
20,0.48100924491882324,-0.11753053218126297,-0.16593468189239502,0.41519594192504883,-0.14660963416099548,-0.13112525641918182,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,349.1050114631653,0.01,10,5e-05,64
21,-1.6045949459075928,-0.5628440976142883,-0.5580047369003296,-1.6037880182266235,-0.5617702007293701,-0.5866745710372925,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,358.46630334854126,1,0.1,5e-06,64
22,-0.9010511636734009,-0.27209997177124023,-0.29877203702926636,-0.9016048312187195,-0.270893931388855,-0.28644421696662903,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,377.366494178772,1,0.1,5e-05,64
23,-1.0455217361450195,-0.3181966245174408,-0.3372686803340912,-1.051978588104248,-0.3182533383369446,-0.3010575771331787,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,351.19134855270386,1,0.3,5e-06,64
24,-0.6796472072601318,-0.211466446518898,-0.2793448269367218,-0.6817439794540405,-0.2108645737171173,-0.25089961290359497,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,364.7146656513214,1,0.3,5e-05,64
25,-1.2433667182922363,-0.18721500039100647,-0.19120240211486816,-1.2397782802581787,-0.1860756278038025,-0.18020737171173096,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,366.9799163341522,1,1,5e-06,64
26,-1.1063690185546875,-0.37363627552986145,-0.3490893244743347,-1.1043932437896729,-0.37122470140457153,-0.34869158267974854,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,372.6505837440491,1,1,5e-05,64
27,-1.2490917444229126,-0.2017732858657837,-0.19485503435134888,-1.2313458919525146,-0.18747442960739136,-0.18457487225532532,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,367.48005723953247,1,3,5e-06,64
28,-1.5740760564804077,-0.26647090911865234,-0.2670580744743347,-1.6059467792510986,-0.2561180293560028,-0.3100600242614746,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,377.7330346107483,1,3,5e-05,64
29,-1.783397912979126,-0.4563347101211548,-0.4029671549797058,-1.722660779953003,-0.4805432856082916,-0.5040443539619446,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,370.26999402046204,1,10,5e-06,64
30,-0.6318999528884888,-0.19195397198200226,-0.24001578986644745,-0.7099339962005615,-0.21134451031684875,-0.2540067136287689,1.4148448705673218,0.4101625680923462,0.42051103711128235,1.7550809383392334,0.4892299771308899,0.515395998954773,354.49963188171387,1,10,5e-05,64
