a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_train_time,b_train_time_WS,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
1,0.420529417837338,0.420527562950074,0.3598832878329348,1.414782876060276,1.4147827727136262,1.5394613170575386,0.4101330557044267,0.4101335140625526,0.36327331216278713,0.5153637683698817,1.754977234431795,0.4891993484695554,1,83,1035.0852420330048,516.4297878742218,518.655454158783,64,0.01,0.0,0.0,true
2,0.420529417837338,0.420527562950074,0.2379825700861411,1.414782876060276,1.4147827727136262,1.7549750372052348,0.4101330557044267,0.4101335140625526,0.22743129761279124,0.5153637683698817,1.754977234431795,0.4891993484695554,1,109,1273.9598050117493,534.523717880249,739.4360871315002,64,0.01,0.0,0.0,false
3,0.43785281826011935,0.420527562950074,0.3865282629604263,1.4224213122076392,1.4147827727136262,1.5249345205816018,0.4184144883752001,0.4101335140625526,0.38283016566438133,0.5153637683698817,1.754977234431795,0.4891993484695554,2,41,775.6280319690704,512.93163895607,262.6963930130005,64,0.01,0.5,0.0,true
4,0.4361246214290797,0.420527562950074,-0.12337073108581942,1.4413459731323073,1.4147827727136262,1.7513700670566816,0.4155656494218898,0.4101335140625526,-0.11276449638916763,0.5153637683698817,1.754977234431795,0.4891993484695554,2,44,810.8259608745575,504.6417438983917,306.18421697616577,64,0.01,0.5,0.0,false
5,0.43371162607665004,0.420527562950074,0.4156150105538958,1.4828778269702538,1.4147827727136262,1.4891948960079175,0.4204373141844797,0.4101335140625526,0.4161500492468855,0.5153637683698817,1.754977234431795,0.4891993484695554,13,33,738.3694360256195,524.8041410446167,213.5652949810028,64,0.01,0.1,0.0,true
6,0.420529417837338,0.420527562950074,-0.12263620260478736,1.414782876060276,1.4147827727136262,1.70211644832284,0.4101330557044267,0.4101335140625526,-0.06875139150519871,0.5153637683698817,1.754977234431795,0.4891993484695554,1,46,848.9590940475464,536.1095519065857,312.8495421409607,64,0.01,0.1,0.0,false
7,0.4215706014062841,0.420527562950074,0.41849026148906954,1.4294595953946523,1.4147827727136262,1.4623732093704183,0.4120572055676832,0.4101335140625526,0.41045941875857683,0.5153637683698817,1.754977234431795,0.4891993484695554,12,38,763.6494650840759,510.152037858963,253.49742722511292,64,0.01,0.02,0.0,true
8,0.420529417837338,0.420527562950074,0.20977525815137965,1.414782876060276,1.4147827727136262,1.5288636416390577,0.4101330557044267,0.4101335140625526,0.23942904055874525,0.5153637683698817,1.754977234431795,0.4891993484695554,1,38,789.5184409618378,526.9961180686951,262.5223228931427,64,0.01,0.02,0.0,false
9,0.420529417837338,0.420527562950074,0.36154266689164105,1.414782876060276,1.4147827727136262,1.5360207090280862,0.4101330557044267,0.4101335140625526,0.36513015008888683,0.5153637683698817,1.754977234431795,0.4891993484695554,1,78,1030.6033239364624,526.14097905159,504.46234488487244,64,0.01,0.0,0.001,true
10,0.420529417837338,0.420527562950074,0.18777656112413066,1.414782876060276,1.4147827727136262,1.754972810473606,0.4101330557044267,0.4101335140625526,0.17154715149201594,0.5153637683698817,1.754977234431795,0.4891993484695554,1,111,1240.4214599132538,516.4794800281525,723.9419798851013,64,0.01,0.0,0.001,false
11,0.4378528254548164,0.420527562950074,0.38881489297972416,1.4224222346824709,1.4147827727136262,1.520417728556784,0.41841449205684866,0.4101335140625526,0.3871257852125216,0.5153637683698817,1.754977234431795,0.4891993484695554,2,45,822.4853959083557,526.6128280162811,295.8725678920746,64,0.01,0.5,0.001,true
12,0.4361242624228443,0.420527562950074,0.23010252616039972,1.4413458860812822,1.4147827727136262,1.7513926582667798,0.4155672453902517,0.4101335140625526,0.20796958200407367,0.5153637683698817,1.754977234431795,0.4891993484695554,2,46,832.3118669986725,544.2513167858124,288.0605502128601,64,0.01,0.5,0.001,false
13,0.4337082697747836,0.420527562950074,0.42127836153794296,1.4846658337370169,1.4147827727136262,1.4936110158449472,0.4188040662220045,0.4101335140625526,0.41285521782134893,0.5153637683698817,1.754977234431795,0.4891993484695554,13,33,754.6883771419525,544.7270228862762,209.96135425567627,64,0.01,0.1,0.001,true
14,0.420529417837338,0.420527562950074,0.25941960380427953,1.414782876060276,1.4147827727136262,1.705565060803731,0.4101330557044267,0.4101335140625526,0.21616655381467664,0.5153637683698817,1.754977234431795,0.4891993484695554,1,43,786.3960189819336,513.7021570205688,272.69386196136475,64,0.01,0.1,0.001,false
15,0.42037873750457333,0.420527562950074,0.41849011736745134,1.4609247376963932,1.4147827727136262,1.4683338452473524,0.41147240931333795,0.4101335140625526,0.4104593934049927,0.5153637683698817,1.754977234431795,0.4891993484695554,20,41,795.7095289230347,530.5230588912964,265.1864700317383,64,0.01,0.02,0.001,true
16,0.420529417837338,0.420527562950074,0.3621590989529304,1.414782876060276,1.4147827727136262,1.5251553292099866,0.4101330557044267,0.4101335140625526,0.3528660929557488,0.5153637683698817,1.754977234431795,0.4891993484695554,1,41,778.8421540260315,519.9298579692841,258.91229605674744,64,0.01,0.02,0.001,false
17,0.420529417837338,0.420527562950074,0.34694014695132736,1.414782876060276,1.4147827727136262,1.450222351501921,0.4101330557044267,0.4101335140625526,0.36085745682734016,0.5153637683698817,1.754977234431795,0.4891993484695554,1,70,962.5360150337219,515.0080811977386,447.5279338359833,64,0.01,0.0,0.1,true
18,0.420529417837338,0.420527562950074,0.3359645479486837,1.414782876060276,1.4147827727136262,1.5058528938153448,0.4101330557044267,0.4101335140625526,0.3447565878055874,0.5153637683698817,1.754977234431795,0.4891993484695554,1,83,1068.7608389854431,541.8249039649963,526.9359350204468,64,0.01,0.0,0.1,false
19,0.438568331690947,0.420527562950074,0.40538835970682463,1.4239891807489018,1.4147827727136262,1.4909957551770816,0.4184146443979897,0.4101335140625526,0.40097763728727576,0.5153637683698817,1.754977234431795,0.4891993484695554,2,46,821.265419960022,543.1528921127319,278.11252784729004,64,0.01,0.5,0.1,true
20,0.42638890007415875,0.420527562950074,0.3848026510412126,1.4463076827456387,1.4147827727136262,1.5757687609385131,0.41424730028085777,0.4101335140625526,0.35912453383448084,0.5153637683698817,1.754977234431795,0.4891993484695554,2,57,859.4013030529022,510.59125781059265,348.81004524230957,64,0.01,0.5,0.1,false
21,0.44294275416723394,0.420527562950074,0.4159290351652245,1.4432832107538625,1.4147827727136262,1.4716901893201575,0.4146690306192873,0.4101335140625526,0.4110564873847342,0.5153637683698817,1.754977234431795,0.4891993484695554,2,38,777.7040820121765,526.7470388412476,250.95704317092896,64,0.01,0.1,0.1,true
22,0.420529417837338,0.420527562950074,0.4171323059882379,1.414782876060276,1.4147827727136262,1.5483446378520611,0.4101330557044267,0.4101335140625526,0.395347646480112,0.5153637683698817,1.754977234431795,0.4891993484695554,1,56,879.340204000473,536.6438529491425,342.69635105133057,64,0.01,0.1,0.1,false
23,0.4173216647737865,0.420527562950074,0.4181500468953856,1.456362723517202,1.4147827727136262,1.4562861249841115,0.41135940567031803,0.4101335140625526,0.410591580430383,0.5153637683698817,1.754977234431795,0.4891993484695554,19,34,749.5891168117523,532.2362279891968,217.35288882255554,64,0.01,0.02,0.1,true
