a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_train_time,b_train_time_WS,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
1,0.385802486,0.420527563,0.359326666,1.398579075,1.414782773,1.589171356,0.381377356,0.410133514,0.348953846,0.515363768,1.754977234,0.489199348,19,179,3269.805136,0.144263029,3269.660873,64,0.0003,0,0,TRUE
2,0.377621946,0.420527563,0.199281575,1.499622735,1.414782773,1.754986739,0.367028954,0.410133514,0.179683129,0.515363768,1.754977234,0.489199348,77,501,17251.29327,0.142745018,17251.15053,64,0.0003,0,0,FALSE
3,0.42237767,0.420527563,0.414555474,1.422001717,1.414782773,1.416592844,0.41083596,0.410133514,0.400009414,0.515363768,1.754977234,0.489199348,82,156,2288.922917,0.141913176,2288.781004,64,0.0003,0.02,0,TRUE
4,0.193775463,0.420527563,0.054363758,1.415013902,1.414782773,1.392417267,0.205467556,0.410133514,0.01741138,0.515363768,1.754977234,0.489199348,2,508,7246.200401,0.143697023,7246.056704,64,0.0003,0.02,0,FALSE
5,0.428887215,0.420527563,0.428887215,1.489712336,1.414782773,1.488154586,0.419816292,0.410133514,0.417943299,0.515363768,1.754977234,0.489199348,77,97,2051.393199,0.143815994,2051.249383,64,0.0003,0.1,0,TRUE
6,0.21816875,0.420527563,0.158542968,1.249634235,1.414782773,1.437716727,0.22002488,0.410133514,0.103803749,0.515363768,1.754977234,0.489199348,4,510,11302.68558,0.142219067,11302.54337,64,0.0003,0.1,0,FALSE
7,0.432707094,0.420527563,0.387987317,1.451468376,1.414782773,1.54568785,0.415218124,0.410133514,0.399714628,0.515363768,1.754977234,0.489199348,41,87,1869.548009,0.141999006,1869.40601,64,0.0003,0.5,0,TRUE
8,0.383063926,0.420527563,0.058814521,1.552932012,1.414782773,1.751292295,0.363706665,0.410133514,0.154502012,0.515363768,1.754977234,0.489199348,385,508,8527.313097,0.141846895,8527.17125,64,0.0003,0.5,0,FALSE
9,0.385814241,0.420527563,0.354875618,1.398766743,1.414782773,1.561534827,0.381376821,0.410133514,0.358766341,0.515363768,1.754977234,0.489199348,19,180,3413.037699,0.146768808,3412.89093,64,0.0003,0,0.001,TRUE
10,0.37627815,0.420527563,0.28836362,1.523610736,1.414782773,1.754973509,0.366825769,0.410133514,0.3145926,0.515363768,1.754977234,0.489199348,80,462,6205.503616,0.144562006,6205.359054,64,0.0003,0,0.001,FALSE
11,0.422377632,0.420527563,0.414555235,1.42337788,1.414782773,1.416593127,0.410836526,0.410133514,0.40000948,0.515363768,1.754977234,0.489199348,78,166,2431.358275,0.189942122,2431.168333,64,0.0003,0.02,0.001,TRUE
12,0.193775463,0.420527563,0.185121135,1.415013901,1.414782773,1.430682658,0.205467555,0.410133514,0.163411525,0.515363768,1.754977234,0.489199348,2,509,10199.18745,0.143508911,10199.04394,64,0.0003,0.02,0.001,FALSE
13,0.433260802,0.420527563,0.436311673,1.49811997,1.414782773,1.486593797,0.420236775,0.410133514,0.414637845,0.515363768,1.754977234,0.489199348,68,96,1937.588885,0.142011166,1937.446874,64,0.0003,0.1,0.001,TRUE
14,0.315087782,0.420527563,0.326327399,1.604031464,1.414782773,1.705328351,0.298289422,0.410133514,0.276200255,0.515363768,1.754977234,0.489199348,390,510,7906.567788,0.143993139,7906.423795,64,0.0003,0.1,0.001,FALSE
15,0.431876328,0.420527563,0.40001041,1.445860244,1.414782773,1.534507991,0.416558926,0.410133514,0.395755674,0.515363768,1.754977234,0.489199348,41,128,2344.116493,0.142955065,2343.973538,64,0.0003,0.5,0.001,TRUE
16,0.368719097,0.420527563,0.36871944,1.603397861,1.414782773,1.603398248,0.350478381,0.410133514,0.350478839,0.515363768,1.754977234,0.489199348,509,509,10282.12967,0.144227982,10281.98544,64,0.0003,0.5,0.001,FALSE
