a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_train_time,b_train_time_WS,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
1,0.3727352696755002,0.420527562950074,0.3599865884005595,1.5451572282988515,1.4147827727136262,1.538059811210128,0.3679232939382089,0.4101335140625526,0.3631064988296464,0.5153637683698817,1.754977234431795,0.4891993484695554,43,55,1825.9602739810944,0.14168691635131836,1825.818587064743,64,0.01,0.0,0.0,true
2,0.2648648659004944,0.420527562950074,0.25767626513389064,1.6191865104910956,1.4147827727136262,1.7549869255498471,0.26623028481774225,0.4101335140625526,0.22717083702326768,0.5153637683698817,1.754977234431795,0.4891993484695554,18,51,1902.094407081604,0.14208602905273438,1901.9523210525513,64,0.01,0.0,0.0,false
3,0.43750186981425854,0.420527562950074,0.3848490318527411,1.4236277943246298,1.4147827727136262,1.5215551245053902,0.4178276517201345,0.4101335140625526,0.38087181807090054,0.5153637683698817,1.754977234431795,0.4891993484695554,23,53,2065.946156024933,0.1385359764099121,2065.807620048523,64,0.01,0.5,0.0,true
4,0.3973101047680305,0.420527562950074,-0.011866286298509054,1.428563991222311,1.4147827727136262,1.7512925778122463,0.38087512924936684,0.4101335140625526,0.025110932075316006,0.5153637683698817,1.754977234431795,0.4891993484695554,7,46,1768.5100541114807,0.14670109748840332,1768.3633530139923,64,0.01,0.5,0.0,false
5,0.43371188770283164,0.420527562950074,0.4201600670514347,1.4826768679676197,1.4147827727136262,1.4903943734031437,0.4201135472122348,0.4101335140625526,0.4166517036060329,0.5153637683698817,1.754977234431795,0.4891993484695554,39,55,2052.719202041626,0.1395130157470703,2052.579689025879,64,0.01,0.1,0.0,true
6,0.4014066060027701,0.420527562950074,-0.16424116560149393,1.419355631670828,1.4147827727136262,1.704833787429508,0.3947241233668777,0.4101335140625526,-0.08384265202347319,0.5153637683698817,1.754977234431795,0.4891993484695554,8,44,1774.2069640159607,0.14890098571777344,1774.058063030243,64,0.01,0.1,0.0,false
7,0.41959796765773283,0.420527562950074,0.420923303505893,1.430412706845443,1.4147827727136262,1.4669278553503005,0.41249528125225354,0.4101335140625526,0.4104592818408479,0.5153637683698817,1.754977234431795,0.4891993484695554,47,65,2321.0339889526367,0.1412360668182373,2320.8927528858185,64,0.01,0.02,0.0,true
8,0.40036887439522983,0.420527562950074,0.1884726432384345,1.4147836146016521,1.4147827727136262,1.5306304402711128,0.40135801055354303,0.4101335140625526,0.22401504042630038,0.5153637683698817,1.754977234431795,0.4891993484695554,3,45,1788.4738759994507,0.14109492301940918,1788.3327810764313,64,0.01,0.02,0.0,false
9,0.36642689930196837,0.420527562950074,0.3621847504193021,1.5445266766960062,1.4147827727136262,1.536024248484202,0.36942203722830835,0.4101335140625526,0.3651095095630885,0.5153637683698817,1.754977234431795,0.4891993484695554,44,59,1902.427992105484,0.14152884483337402,1902.2864632606506,64,0.01,0.0,0.001,true
10,0.26313696729157443,0.420527562950074,0.1910085526903127,1.6198866815149473,1.4147827727136262,1.7549727619630646,0.26641523448244353,0.4101335140625526,0.17139670125330708,0.5153637683698817,1.754977234431795,0.4891993484695554,20,53,1889.660108089447,0.1394059658050537,1889.520702123642,64,0.01,0.0,0.001,false
