a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_train_time,b_train_time_WS,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
1,0.303326175946778,0.420527562950074,0.26742711952568743,1.1538064572334825,1.4147827727136262,1.552944369706207,0.30432554371697607,0.4101335140625526,0.2658122602035673,0.5153637683698817,1.754977234431795,0.4891993484695554,8,50,17144.620518922806,0.1420130729675293,17144.47850584984,64,0.001,0.0,0.0,true
2,0.31752473306073314,0.420527562950074,0.30132234414147585,1.6314864248542769,1.4147827727136262,1.6650019679962398,0.3168505656133722,0.4101335140625526,0.29786150636067865,0.5153637683698817,1.754977234431795,0.4891993484695554,38,66,37104.202855825424,0.139909029006958,37104.06294679642,64,0.001,0.0,0.0,false
3,0.41303884380664746,0.420527562950074,0.41422288040490907,1.4257434451137212,1.4147827727136262,1.4209413837259257,0.4080143711670361,0.4101335140625526,0.3985598715725043,0.5153637683698817,1.754977234431795,0.4891993484695554,2,58,23591.13103699684,0.1395092010498047,23590.99152779579,64,0.001,0.02,0.0,true
4,0.41631352921894527,0.420527562950074,0.38150421983075233,1.435900433057519,1.4147827727136262,1.5306286265504525,0.39431000106138003,0.4101335140625526,0.3593915571302748,0.5153637683698817,1.754977234431795,0.4891993484695554,26,49,23111.952726125717,0.14036893844604492,23111.81235718727,64,0.001,0.02,0.0,false
5,0.42311530054786006,0.420527562950074,0.42866282836080427,1.4542591399906555,1.4147827727136262,1.4998150867001092,0.41398252454725704,0.4101335140625526,0.4069861725800552,0.5153637683698817,1.754977234431795,0.4891993484695554,34,58,20209.383260965347,0.14060282707214355,20209.242658138275,64,0.001,0.1,0.0,true
6,0.3998353233599361,0.420527562950074,0.037103362230587855,1.4443572973719956,1.4147827727136262,1.704833757296902,0.3734809552718954,0.4101335140625526,0.06326777724138322,0.5153637683698817,1.754977234431795,0.4891993484695554,19,47,24164.808665037155,0.13918209075927734,24164.669482946396,64,0.001,0.1,0.0,false
7,0.4321312591050981,0.420527562950074,0.38896938649939305,1.4285333323964338,1.4147827727136262,1.5436149852434742,0.417926616408145,0.4101335140625526,0.3994570855346935,0.5153637683698817,1.754977234431795,0.4891993484695554,23,53,19310.39546394348,0.1408829689025879,19310.25458097458,64,0.001,0.5,0.0,true
8,0.37677971552767064,0.420527562950074,0.01938411645239202,1.4580769680559857,1.4147827727136262,1.7512926489201615,0.3589676506980348,0.4101335140625526,0.0734611270257135,0.5153637683698817,1.754977234431795,0.4891993484695554,15,51,26491.45541191101,0.14058208465576172,26491.314829826355,64,0.001,0.5,0.0,false
9,0.372797624241463,0.420527562950074,0.3727978050462495,1.575809472954739,1.4147827727136262,1.5758101145876413,0.35965398428228346,0.4101335140625526,0.3596541699009319,0.5153637683698817,1.754977234431795,0.4891993484695554,71,72,22043.684080839157,0.14234399795532227,22043.5417368412,64,0.001,0.0,0.001,true
10,0.31725418342097456,0.420527562950074,0.2984649953502485,1.634065814690989,1.4147827727136262,1.6911118012597637,0.3186384846805834,0.4101335140625526,0.27723554955860874,0.5153637683698817,1.754977234431795,0.4891993484695554,33,64,36944.091511011124,0.1397099494934082,36943.95180106163,64,0.001,0.0,0.001,false
11,0.41335213150556793,0.420527562950074,0.41422286296463096,1.4209048602281156,1.4147827727136262,1.4209414457610947,0.40580209469033557,0.4101335140625526,0.39855413587232036,0.5153637683698817,1.754977234431795,0.4891993484695554,4,59,24496.28484106064,0.1403210163116455,24496.144520044327,64,0.001,0.02,0.001,true
12,0.3978107351288793,0.420527562950074,0.3841495040517737,1.511336542193085,1.4147827727136262,1.5276562691905484,0.39037280448981404,0.4101335140625526,0.3710459230025944,0.5153637683698817,1.754977234431795,0.4891993484695554,35,52,23133.734293937683,0.14125800132751465,23133.593035936356,64,0.001,0.02,0.001,false
13,0.44061275173723113,0.420527562950074,0.43221060239242703,1.5009657606635498,1.4147827727136262,1.5066101929630613,0.41608546737837626,0.4101335140625526,0.40494627143554496,0.5153637683698817,1.754977234431795,0.4891993484695554,42,58,22755.601536035538,0.14116692543029785,22755.460369110107,64,0.001,0.1,0.001,true
14,0.38195121434215284,0.420527562950074,0.342417455110835,1.4445474403501755,1.4147827727136262,1.7057053104315036,0.36737457201737556,0.4101335140625526,0.31629130890633417,0.5153637683698817,1.754977234431795,0.4891993484695554,19,52,23960.465975999832,0.14047884941101074,23960.32549715042,64,0.001,0.1,0.001,false
15,0.4290410391120614,0.420527562950074,0.4000675722595848,1.426201325346077,1.4147827727136262,1.542065477262109,0.4184669836890591,0.4101335140625526,0.3972867961693518,0.5153637683698817,1.754977234431795,0.4891993484695554,24,56,18739.13371515274,0.13874602317810059,18738.994969129562,64,0.001,0.5,0.001,true
16,0.3568562889115554,0.420527562950074,0.3137660207935302,1.458916324244504,1.4147827727136262,1.7513986319397712,0.33782872263736485,0.4101335140625526,0.31255737385921023,0.5153637683698817,1.754977234431795,0.4891993484695554,13,53,24792.374733924866,0.14098191261291504,24792.233752012253,64,0.001,0.5,0.001,false
17,0.3018813027577587,0.420527562950074,0.21712866348004423,1.153806450369152,1.4147827727136262,1.4299459594088746,0.30432551464157376,0.4101335140625526,0.2228244271401132,0.5153637683698817,1.754977234431795,0.4891993484695554,8,54,17198.81898522377,0.14217782020568848,17198.676807403564,64,0.001,0.0,0.1,true
18,0.32757098196213597,0.420527562950074,0.2863634035765277,1.594788331710843,1.4147827727136262,1.7062053065269924,0.3392604845118148,0.4101335140625526,0.2640910499395819,0.5153637683698817,1.754977234431795,0.4891993484695554,17,62,38465.78319501877,0.14076900482177734,38465.64242601395,64,0.001,0.0,0.1,false
19,0.40976987560607014,0.420527562950074,0.41055244000370394,1.4092581569853184,1.4147827727136262,1.4152277052212656,0.39773664920194873,0.4101335140625526,0.38990950890618503,0.5153637683698817,1.754977234431795,0.4891993484695554,57,67,23190.32776904106,0.13978791236877441,23190.187981128693,64,0.001,0.02,0.1,true
20,0.41625968084888565,0.420527562950074,0.4158312740661203,1.4464734349012058,1.4147827727136262,1.4467974367705838,0.4054178156311816,0.4101335140625526,0.40074105663675863,0.5153637683698817,1.754977234431795,0.4891993484695554,41,59,24377.612621068954,0.13932514190673828,24377.473295927048,64,0.001,0.02,0.1,false
21,0.4312219011285334,0.420527562950074,0.42324285576915566,1.4912589375990328,1.4147827727136262,1.4839066626794652,0.41318867352130173,0.4101335140625526,0.4050066201432385,0.5153637683698817,1.754977234431795,0.4891993484695554,39,55,22265.38834810257,0.14694905281066895,22265.24139904976,64,0.001,0.1,0.1,true
22,0.40853103969701277,0.420527562950074,0.4101335640991415,1.5151709059064729,1.4147827727136262,1.5262434279547232,0.3888005146096507,0.4101335140625526,0.3837974426562354,0.5153637683698817,1.754977234431795,0.4891993484695554,32,52,22009.401795864105,0.13982319831848145,22009.261972665787,64,0.001,0.1,0.1,false
23,0.43519036567902947,0.420527562950074,0.4017514180218791,1.4326523286318444,1.4147827727136262,1.5177866480063114,0.4211916803221407,0.4101335140625526,0.39855646924291066,0.5153637683698817,1.754977234431795,0.4891993484695554,21,54,17650.631183862686,0.1414170265197754,17650.489766836166,64,0.001,0.5,0.1,true
24,0.35354702865337706,0.420527562950074,0.28584168718967407,1.4716363005135769,1.4147827727136262,1.5315423719802927,0.354045557890889,0.4101335140625526,0.2878843774552261,0.5153637683698817,1.754977234431795,0.4891993484695554,25,52,20694.589516878128,0.13975310325622559,20694.449763774872,64,0.001,0.5,0.1,false
25,0.3005819366303115,0.420527562950074,0.2171342061005822,1.1274601426101922,1.4147827727136262,1.4299476420345543,0.30204886799207964,0.4101335140625526,0.22282913243593727,0.5153637683698817,1.754977234431795,0.4891993484695554,24,60,19776.233558893204,0.14120984077453613,19776.09234905243,64,0.001,0.0,10.0,true
26,0.30058197430710387,0.420527562950074,0.21713418131732376,1.1274602928652842,1.4147827727136262,1.4299476219222091,0.30204890610474977,0.4101335140625526,0.22282910807596845,0.5153637683698817,1.754977234431795,0.4891993484695554,18,54,18470.410998106003,0.1408700942993164,18470.270128011703,64,0.001,0.0,10.0,false
27,0.4162572740947942,0.420527562950074,0.4218530659040265,1.420895941345865,1.4147827727136262,1.4255006639988181,0.4073963737987054,0.4101335140625526,0.40329514814102585,0.5153637683698817,1.754977234431795,0.4891993484695554,5,61,25774.726335048676,0.14034318923950195,25774.585991859436,64,0.001,0.02,10.0,true
28,0.4179043222133474,0.420527562950074,0.4179050144782419,1.43526831654657,1.4147827727136262,1.43526975313047,0.3977574351781099,0.4101335140625526,0.39775384136434444,0.5153637683698817,1.754977234431795,0.4891993484695554,57,62,23187.413813114166,0.14138388633728027,23187.27242922783,64,0.001,0.02,10.0,false
29,0.4299519613527887,0.420527562950074,0.43119489036614644,1.4338207273818435,1.4147827727136262,1.4327367170796141,0.4116675564557575,0.4101335140625526,0.410170251621488,0.5153637683698817,1.754977234431795,0.4891993484695554,34,54,16479.764741897583,0.13973093032836914,16479.625010967255,64,0.001,0.1,10.0,true
30,0.3894818285970427,0.420527562950074,0.34430422372726066,1.436852092781669,1.4147827727136262,1.3943674717555368,0.3743357779802048,0.4101335140625526,0.3111363257234552,0.5153637683698817,1.754977234431795,0.4891993484695554,14,54,22642.847810983658,0.1412808895111084,22642.706530094147,64,0.001,0.1,10.0,false
