a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_train_time,b_train_time_WS,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
1,-0.15456353775457843,0.420527562950074,-0.154563551010645,0.08204270183998474,1.4147827727136262,0.08204263720035865,-0.20646876944531733,0.4101335140625526,-0.20646876695873662,0.5153637683698817,1.754977234431795,0.4891993484695554,201,201,1706.1835157871246,0,1706.1835157871246,16,0.001,0,0.0,true
2,-0.13188275238395963,0.420527562950074,-0.1318827444205164,0.17037765972850094,1.4147827727136262,0.1703777232673893,-0.18406442245939325,0.4101335140625526,-0.18406443141049356,0.5153637683698817,1.754977234431795,0.4891993484695554,201,201,1687.6942420005798,0,1687.6942420005798,16,0.01,0,0.0,true
3,-0.03062570827172717,0.420527562950074,-0.030625676725475115,0.7195876755151116,1.4147827727136262,0.7195883340235092,-0.06827252806950712,0.4101335140625526,-0.06827258370112,0.5153637683698817,1.754977234431795,0.4891993484695554,201,201,1702.7641370296478,0,1702.7641370296478,16,0.1,0,0.0,true
4,0.10166954941732409,0.420527562950074,0.10375611446126842,1.020828458546097,1.4147827727136262,1.0226100419208555,0.08384753186454352,0.4101335140625526,0.0833449849663277,0.5153637683698817,1.754977234431795,0.4891993484695554,193,201,1689.1121871471405,0,1689.1121871471405,16,1.0,0,0.0,true
5,-0.15456353775154308,0.420527562950074,-0.15456355100660857,0.08204270185504559,1.4147827727136262,0.08204263721943272,-0.2064687694446099,0.4101335140625526,-0.20646876695841776,0.5153637683698817,1.754977234431795,0.4891993484695554,201,201,1712.0779838562012,0,1712.0779838562012,64,0.001,0,0.0,true
6,-0.13188275174097985,0.420527562950074,-0.13188274382735654,0.1703776795497567,1.4147827727136262,0.17037774096275138,-0.1840644213245506,0.4101335140625526,-0.1840644304211405,0.5153637683698817,1.754977234431795,0.4891993484695554,201,201,1693.293161869049,0,1693.293161869049,64,0.01,0,0.0,true
7,-0.03062459955712704,0.420527562950074,-0.030624621019118115,0.7195963903948748,1.4147827727136262,0.7195965576504264,-0.06759525941399169,0.4101335140625526,-0.06759523286152702,0.5153637683698817,1.754977234431795,0.4891993484695554,201,201,1683.0397419929504,0,1683.0397419929504,64,0.1,0,0.0,true
8,0.10090522816675995,0.420527562950074,0.10312942354177745,1.0331062897902248,1.4147827727136262,1.03610673300178,0.08510159137353024,0.4101335140625526,0.08417433550337483,0.5153637683698817,1.754977234431795,0.4891993484695554,191,201,1696.581638097763,0,1696.581638097763,64,1.0,0,0.0,true
9,-0.1545635378896444,0.420527562950074,-0.1545635511663771,0.08204267460684234,1.4147827727136262,0.0820426206018281,-0.20646876948604964,0.4101335140625526,-0.20646876679877968,0.5153637683698817,1.754977234431795,0.4891993484695554,201,201,1687.523472070694,0,1687.523472070694,16,0.001,0,0.0001,true
10,-0.13188317849855347,0.420527562950074,-0.13188301560374094,0.17037760908303046,1.4147827727136262,0.17037767153049765,-0.18406442447122595,0.4101335140625526,-0.18406443373742198,0.5153637683698817,1.754977234431795,0.4891993484695554,201,201,1694.7483282089233,0,1694.7483282089233,16,0.01,0,0.0001,true
11,-0.03186791436709502,0.420527562950074,-0.03186805048768093,0.7121176742087889,1.4147827727136262,0.7121168341321606,-0.06827404019332795,0.4101335140625526,-0.06827400612156875,0.5153637683698817,1.754977234431795,0.4891993484695554,201,201,1678.696673154831,0,1678.696673154831,16,0.1,0,0.0001,true
12,0.09595207800320638,0.420527562950074,0.09371930105508919,1.0141443106463282,1.4147827727136262,1.0184980577962572,0.0894828171065738,0.4101335140625526,0.08948129818753703,0.5153637683698817,1.754977234431795,0.4891993484695554,198,201,1718.9074969291687,0,1718.9074969291687,16,1.0,0,0.0001,true
13,-0.15456353778590448,0.420527562950074,-0.15456355104595587,0.0820426949274955,1.4147827727136262,0.08204263457566396,-0.20646876945455217,0.4101335140625526,-0.20646876691807403,0.5153637683698817,1.754977234431795,0.4891993484695554,201,201,1708.7352261543274,0,1708.7352261543274,64,0.001,0,0.0001,true
14,-0.13188279622358023,0.420527562950074,-0.13188278581363355,0.17037764455932525,1.4147827727136262,0.1703777086723508,-0.18406442184536287,0.4101335140625526,-0.18406443110334947,0.5153637683698817,1.754977234431795,0.4891993484695554,201,201,1682.260066986084,0,1682.260066986084,64,0.01,0,0.0001,true
15,-0.03062519405577624,0.420527562950074,-0.030625187329109016,0.7198044368959362,1.4147827727136262,0.719804578729228,-0.06759533043354171,0.4101335140625526,-0.06759530281890735,0.5153637683698817,1.754977234431795,0.4891993484695554,201,201,1681.8023838996887,0,1681.8023838996887,64,0.1,0,0.0001,true
16,0.0980629238397599,0.420527562950074,0.10312920780683887,1.0295524793473914,1.4147827727136262,1.0324988860491153,0.08635929040531254,0.4101335140625526,0.08417438961200396,0.5153637683698817,1.754977234431795,0.4891993484695554,193,201,1693.7657749652863,0,1693.7657749652863,64,1.0,0,0.0001,true
17,-0.1545635574545129,0.420527562950074,-0.15456356637923696,0.08204190384572341,1.4147827727136262,0.08204179255248523,-0.20646874973880203,0.4101335140625526,-0.20646872159604568,0.5153637683698817,1.754977234431795,0.4891993484695554,201,201,1691.6500668525696,0,1691.6500668525696,16,0.001,0,0.01,true
18,-0.13414929209154702,0.420527562950074,-0.1341493192866512,0.17172020092095286,1.4147827727136262,0.17172031932567267,-0.18693986564049703,0.4101335140625526,-0.1869398767193391,0.5153637683698817,1.754977234431795,0.4891993484695554,201,201,1686.170923948288,0,1686.170923948288,16,0.01,0,0.01,true
19,-0.047737718355229664,0.420527562950074,-0.04474364381417262,0.6800485388231978,1.4147827727136262,0.6853521681004575,-0.08526506734767225,0.4101335140625526,-0.08807689335993163,0.5153637683698817,1.754977234431795,0.4891993484695554,190,201,1684.7999458312988,0,1684.7999458312988,16,0.1,0,0.01,true
20,0.24570012498455118,0.420527562950074,0.21476704011159442,0.7442233073132725,1.4147827727136262,0.8425291715308356,0.22192332138327453,0.4101335140625526,0.1831903429030759,0.5153637683698817,1.754977234431795,0.4891993484695554,195,201,1667.1758019924164,0,1667.1758019924164,16,1.0,0,0.01,true
