a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_train_time,b_train_time_WS,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
1,-0.07089783117084147,0.420527562950074,-0.06692623043683055,-0.5495531333084172,1.4147827727136262,-0.5107852694532147,-0.05539986543529318,0.4101335140625526,-0.05848793952074405,0.5153637683698817,1.754977234431795,0.4891993484695554,56,101,867.221312046051,0,867.221312046051,16,0.001,0,0.0,true
2,0.15163120946923314,0.420527562950074,0.15491793542719434,0.582146963936991,1.4147827727136262,0.5982008047277101,0.1716660157255162,0.4101335140625526,0.171410661666207,0.5153637683698817,1.754977234431795,0.4891993484695554,98,101,836.8154611587524,0,836.8154611587524,16,0.01,0,0.0,true
3,0.15185018839394493,0.420527562950074,0.14584985425818564,0.8557756373198337,1.4147827727136262,0.8587827907306149,0.20399528610319462,0.4101335140625526,0.18023968895380404,0.5153637683698817,1.754977234431795,0.4891993484695554,69,101,861.6356649398804,0,861.6356649398804,16,0.1,0,0.0,true
4,0.21293746540084668,0.420527562950074,0.13681709972728773,0.766235883560066,1.4147827727136262,1.1194360448400058,0.20378211901249377,0.4101335140625526,0.16633548248934893,0.5153637683698817,1.754977234431795,0.4891993484695554,3,101,900.109503030777,0,900.109503030777,16,1.0,0,0.0,true
5,-0.07089781202383838,0.420527562950074,-0.06693437923459555,-0.5495531626431012,1.4147827727136262,-0.5107852482214019,-0.05539988105612914,0.4101335140625526,-0.05848790948254379,0.5153637683698817,1.754977234431795,0.4891993484695554,56,101,858.5715670585632,0,858.5715670585632,64,0.001,0,0.0,true
6,0.15161977795843606,0.420527562950074,0.15491380751049633,0.5888109123460818,1.4147827727136262,0.5907524271422231,0.17166474401509924,0.4101335140625526,0.1716545688649731,0.5153637683698817,1.754977234431795,0.4891993484695554,98,101,853.4323308467865,0,853.4323308467865,64,0.01,0,0.0,true
7,0.17799730378768386,0.420527562950074,0.09849326693434524,0.8291333693947989,1.4147827727136262,0.8150519263110176,0.20021842529016332,0.4101335140625526,0.17212295957114954,0.5153637683698817,1.754977234431795,0.4891993484695554,8,101,873.3605329990387,0,873.3605329990387,64,0.1,0,0.0,true
8,0.19288052459910165,0.420527562950074,-0.22674774446892698,0.9712207119621414,1.4147827727136262,-0.2567849005300795,0.19323316871509122,0.4101335140625526,-0.20897154076813385,0.5153637683698817,1.754977234431795,0.4891993484695554,14,101,937.8332371711731,0,937.8332371711731,64,1.0,0,0.0,true
9,-0.07089875787438804,0.420527562950074,-0.06582568600303063,-0.5495531747438092,1.4147827727136262,-0.5107855158356589,-0.05539988181271083,0.4101335140625526,-0.05848795756435288,0.5153637683698817,1.754977234431795,0.4891993484695554,56,101,855.8428339958191,0,855.8428339958191,16,0.001,0,0.0001,true
10,0.15492192431363538,0.420527562950074,0.154929481103522,0.587405122511472,1.4147827727136262,0.5982038007373904,0.17165316529808872,0.4101335140625526,0.17141187964460458,0.5153637683698817,1.754977234431795,0.4891993484695554,100,101,853.550696849823,0,853.550696849823,16,0.01,0,0.0001,true
11,0.1592206317323046,0.420527562950074,0.1510523945331963,0.8342411876005302,1.4147827727136262,0.8598435796433725,0.20378999022479294,0.4101335140625526,0.18376199978460384,0.5153637683698817,1.754977234431795,0.4891993484695554,8,101,871.3409991264343,0,871.3409991264343,16,0.1,0,0.0001,true
12,0.21295700797713812,0.420527562950074,0.1238122013012769,0.7669264424341353,1.4147827727136262,1.1314344406337313,0.2037849491623771,0.4101335140625526,0.15023442502411788,0.5153637683698817,1.754977234431795,0.4891993484695554,3,101,885.8795218467712,0,885.8795218467712,16,1.0,0,0.0001,true
13,-0.07089804425044277,0.420527562950074,-0.0669344192518051,-0.5495531596474876,1.4147827727136262,-0.510785309189238,-0.05539988510933491,0.4101335140625526,-0.05848791400107933,0.5153637683698817,1.754977234431795,0.4891993484695554,56,101,867.22243309021,0,867.22243309021,64,0.001,0,0.0001,true
