a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_time_WS,b_time_all,b_time_opti,b_time_val,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
1,0.3386256411145321,0.420527562950074,0.33862571302816624,1.3395356637863287,1.4147827727136262,1.3395357966309343,0.3318752140861312,0.4101335140625526,0.3318753112231174,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,28.116175651550293,513.5822989940643,70.7773506641388,400.6430790424347,485.46612334251404,1,0,0.02,0.0,true
2,0.37118675708683924,0.420527562950074,0.3711871084537792,1.3228648590273577,1.4147827727136262,1.3228689950757242,0.3371848443963408,0.4101335140625526,0.33718527389032804,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,30.381657600402832,517.6826159954071,70.99057817459106,402.4088418483734,487.3009583950043,1,0,0.1,0.0,true
3,0.3219380849842587,0.420527562950074,0.3219378546636077,1.2410278995267596,1.4147827727136262,1.2410280061716072,0.3002232867406418,0.4101335140625526,0.30022370119167663,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,17.200105905532837,286.0917978286743,45.40215826034546,210.60024499893188,268.8916919231415,2,0,0.02,0.0,true
4,0.3344611494115288,0.420527562950074,0.334461255791338,1.208199308329907,1.4147827727136262,1.208199998552212,0.3297318922539445,0.4101335140625526,0.3297322051315619,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,18.089557647705078,281.71258306503296,46.255265951156616,204.40490698814392,263.6230254173279,2,0,0.1,0.0,true
5,0.41923512609170466,0.420527562950074,0.419235333872954,1.417979028344543,1.4147827727136262,1.417979525970524,0.4137055240184335,0.4101335140625526,0.4137059605080098,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,12.33681321144104,157.2400369644165,30.053560256958008,102.14306998252869,144.90322375297546,4,0,0.02,0.0,true
6,0.4157867285039072,0.420527562950074,0.4157868249332044,1.4286014986681872,1.4147827727136262,1.4286022874086446,0.4086799978446105,0.4101335140625526,0.40867106251445007,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,11.879769802093506,163.0877161026001,30.186798334121704,108.10282707214355,151.2079463005066,4,0,0.1,0.0,true
7,0.42128507109356295,0.420527562950074,0.4212851983526107,1.4176968798325396,1.4147827727136262,1.4176979295404624,0.41013466391584186,0.4101335140625526,0.4101351087691496,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,12.576645374298096,97.6306848526001,18.871921062469482,53.523942947387695,85.054039478302,8,0,0.02,0.0,true
8,0.42969954187398907,0.420527562950074,0.4296995914812043,1.442572265026011,1.4147827727136262,1.4425745776102374,0.41696156398835615,0.4101335140625526,0.41696190885912077,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,10.932151079177856,92.55604100227356,18.312174081802368,50.93767309188843,81.6238899230957,8,0,0.1,0.0,true
9,0.42326714632723017,0.420527562950074,0.4232671529357066,1.4543392399882422,1.4147827727136262,1.4543398664442342,0.4123070727171656,0.4101335140625526,0.41230752580735697,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,16.126105070114136,74.03444504737854,17.396138906478882,28.151376962661743,57.908339977264404,16,0,0.02,0.0,true
10,0.43489132793749885,0.420527562950074,0.43489172237828555,1.4332218496979268,1.4147827727136262,1.4332227781767388,0.42353269145596695,0.4101335140625526,0.4235331422049544,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,16.239439964294434,73.19745397567749,17.920168161392212,26.163920879364014,56.95801401138306,16,0,0.1,0.0,true
11,0.4258396409806393,0.420527562950074,0.4258395048499628,1.4487543832907956,1.4147827727136262,1.4487550070707154,0.41519753307075247,0.4101335140625526,0.4151977462606813,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,56.539620876312256,92.72328305244446,10.206039905548096,13.59765100479126,36.1836621761322,32,0,0.02,0.0,true
12,0.44295330608264205,0.420527562950074,0.4429538236763484,1.4382777539911444,1.4147827727136262,1.438278207293985,0.41751881621100106,0.4101335140625526,0.4175190592909688,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,61.882757902145386,98.46328711509705,10.67325496673584,13.529175996780396,36.58052921295166,32,0,0.1,0.0,true
13,0.41534002755017174,0.420527562950074,0.4153397858765029,1.4389519963743922,1.4147827727136262,1.4389536164832766,0.4107233820913214,0.4101335140625526,0.4107237884576316,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,216.09982895851135,245.96337604522705,10.514281988143921,7.209352970123291,29.8635470867157,64,0,0.02,0.0,true
14,0.43344422374168845,0.420527562950074,0.4334444677071987,1.4816302316859362,1.4147827727136262,1.481630002225124,0.41752167830470777,0.4101335140625526,0.4175216916109534,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,221.54029989242554,249.61014699935913,8.562287092208862,7.219110012054443,28.069847106933594,64,0,0.1,0.0,true
15,0.4230582266641829,0.420527562950074,0.42305782382921087,1.4178720423508722,1.4147827727136262,1.4178726162173758,0.4107979151847925,0.4101335140625526,0.41079843956085504,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,27.933308124542236,522.8485109806061,70.60136294364929,411.02786207199097,494.91520285606384,1,0,0.02,0.1,true
16,0.42477905706505914,0.420527562950074,0.42478041648418086,1.4200897720847987,1.4147827727136262,1.42009039603214,0.4134707204958461,0.4101335140625526,0.4134712431395986,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,28.03929352760315,521.2307651042938,71.0887246131897,408.56948709487915,493.1914715766907,1,0,0.1,0.1,true
17,0.41816412965825833,0.420527562950074,0.418165640352564,1.4371049929045943,1.4147827727136262,1.4371050566597754,0.4121065173750815,0.4101335140625526,0.4121068978825866,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,18.867995262145996,289.28591799736023,48.10917854309082,208.79001188278198,270.41792273521423,2,0,0.02,0.1,true
18,0.42884304140162177,0.420527562950074,0.42884249001598795,1.4243784390885215,1.4147827727136262,1.4243780077361627,0.41815297250636396,0.4101335140625526,0.4181534738391679,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,17.209882497787476,276.38873195648193,46.07215762138367,200.07146191596985,259.17884945869446,2,0,0.1,0.1,true
19,0.4211159651289309,0.420527562950074,0.42111639309395144,1.4263113448188056,1.4147827727136262,1.4263112668987121,0.4134986474189142,0.4101335140625526,0.41349958356822225,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,11.802917242050171,149.98184299468994,25.976999521255493,99.58474612236023,138.17892575263977,4,0,0.02,0.1,true
20,0.41978965065842555,0.420527562950074,0.4197894815621839,1.4118071949092905,1.4147827727136262,1.4118085704347543,0.41013416775216194,0.4101335140625526,0.4101347116672982,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,11.541163921356201,160.0327169895172,34.10171890258789,101.6932430267334,148.491553068161,4,0,0.1,0.1,true
21,0.4233553821115472,0.420527562950074,0.42335349232609754,1.4198082843159794,1.4147827727136262,1.4198112994226788,0.41082956289507844,0.4101335140625526,0.41083007903478963,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,10.174102544784546,91.77944803237915,17.506619215011597,51.68577980995178,81.6053454875946,8,0,0.02,0.1,true
22,0.42662567048474664,0.420527562950074,0.42662529493316637,1.4355393332743631,1.4147827727136262,1.4355390073639254,0.4127373445002891,0.4101335140625526,0.41273806967928706,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,11.961502075195312,95.71122312545776,17.638899564743042,53.52467393875122,83.74972105026245,8,0,0.1,0.1,true
23,0.42186062420166115,0.420527562950074,0.4218605386584209,1.435175500195644,1.4147827727136262,1.4351761521307775,0.41035185763972337,0.4101335140625526,0.410352222081815,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,12.422153234481812,69.57588601112366,17.267173767089844,27.540717124938965,57.153732776641846,16,0,0.02,0.1,true
24,0.42993244115593643,0.420527562950074,0.42993242418970934,1.4661798688204906,1.4147827727136262,1.4661808263095977,0.4130297450963829,0.4101335140625526,0.41303026707257606,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,16.733948707580566,80.3214418888092,24.158248901367188,26.7189679145813,63.58749318122864,16,0,0.1,0.1,true
25,0.4202649799100826,0.420527562950074,0.4202639538973063,1.4307982728479494,1.4147827727136262,1.4307991267358422,0.41067811292257983,0.4101335140625526,0.4106784273247044,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,61.53472900390625,104.42242002487183,14.606454849243164,15.917067050933838,42.887691020965576,32,0,0.02,0.1,true
26,0.41958330950785827,0.420527562950074,0.4195834905851168,1.4215751477458554,1.4147827727136262,1.4215763680116318,0.4101345468917532,0.4101335140625526,0.41013495029358893,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,59.39195394515991,96.25330519676208,10.89175295829773,13.55168080329895,36.86135125160217,32,0,0.1,0.1,true
27,0.41815029989530217,0.420527562950074,0.41815004689541646,1.4562939869429492,1.4147827727136262,1.456286124983757,0.41059126347968733,0.4101335140625526,0.4105915804303739,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,218.25600504875183,245.66880416870117,7.961364030838013,7.245023012161255,27.41279911994934,64,0,0.02,0.1,true
28,0.4247580037494665,0.420527562950074,0.4247581009589134,1.4808150559320072,1.4147827727136262,1.4808127471198027,0.4117632090789063,0.4101335140625526,0.4117645607105116,0.5153637683698817,1.754977234431795,0.4891993484695554,1,1,218.2799470424652,248.68400311470032,10.896440982818604,7.2536420822143555,30.404056072235107,64,0,0.1,0.1,true
