a_config,a_profit_train,a_profit_val,a_profit_test,a_profit_train_fc,a_profit_val_fc,a_profit_test_fc,ab_profit_PF_train,ab_profit_PF_val,ab_profit_PF_test,b_train_time_per_epoch,b_train_time_forward,b_train_time_backward,b_train_time_val,hp_reg,hp_gamma,hp_lr,hp_bs,hp_ws,smoothing,loss,framework,,regret_val,regret_test,train_time
4,-1.426507354,-0.415289044,-0.42149052,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,19.60023802,1.062424689,0.61607527,6.27223988,0,0.001,1.00E-05,8,TRUE,logBar,profit,ID,,0.073940992,0.093922347,1960.023802
3,-1.411490202,-0.415286988,-0.420878321,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,18.82823522,0.941152025,0.577144543,5.764027578,0,0.001,0.0001,8,TRUE,logBar,profit,ID,,,,
36,-1.413947821,-0.41430819,-0.419104695,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.83510666,6.760145759,2.228383216,5.746522536,0,0.001,1.00E-05,64,TRUE,logBar,profit,ID,,,,
35,-1.418301582,-0.413552463,-0.419392526,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.14124473,6.676499128,2.190119928,5.15796576,0,0.001,0.0001,64,TRUE,logBar,profit,ID,,,,
8,-1.434523344,-0.413078099,-0.411655068,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.74143647,0.959630958,0.409054592,5.994937839,0,0.003,1.00E-05,8,TRUE,logBar,profit,ID,,,,
28,-1.42223537,-0.412653923,-0.419609189,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.67041025,0.951418942,0.281541849,5.790952082,0,1,1.00E-05,8,TRUE,logBar,profit,ID,,,,
12,-1.426947474,-0.412524998,-0.42166096,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.37280437,1.073451429,0.37369622,5.979066175,0,0.01,1.00E-05,8,TRUE,logBar,profit,ID,,,,
16,-1.426947474,-0.412524998,-0.422938168,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.28888474,1.011096182,0.351805194,5.919955262,0,0.03,1.00E-05,8,TRUE,logBar,profit,ID,,,,
20,-1.426947474,-0.412524998,-0.422938168,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.00503628,1.004367458,0.369073449,5.820575073,0,0.1,1.00E-05,8,TRUE,logBar,profit,ID,,,,
24,-1.426947474,-0.412524998,-0.422938168,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.35699018,1.07167641,0.284970325,5.330997788,0,0.3,1.00E-05,8,TRUE,logBar,profit,ID,,,,
40,-1.43754673,-0.411958843,-0.418559462,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.51723818,6.704500091,1.975501679,5.723099822,0,0.003,1.00E-05,64,TRUE,logBar,profit,ID,,,,
32,-1.433197618,-0.411827981,-0.424120128,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.29898953,1.039708877,0.238645633,5.688600389,0,3,1.00E-05,8,TRUE,logBar,profit,ID,,,,
44,-1.429566979,-0.411591649,-0.420344949,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.4088722,6.677264676,1.884033862,5.761332844,0,0.01,1.00E-05,64,TRUE,logBar,profit,ID,,,,
