a_config,a_profit_train,a_profit_val,a_profit_test,a_profit_train_fc,a_profit_val_fc,a_profit_test_fc,ab_profit_PF_train,ab_profit_PF_val,ab_profit_PF_test,b_train_time_per_epoch,b_train_time_forward,b_train_time_backward,b_train_time_val,hp_reg,hp_gamma,hp_lr,hp_bs,hp_ws,smoothing,loss,framework,hp_hl1_units,hp_hl1_act,,regret_val,regret_test,train_time
4,-1.438999176,-0.416833818,-0.431512535,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,19.70299509,1.04045074,0.593225892,6.454131015,0,0.001,1.00E-05,8,TRUE,logBar,profit,ID,24,softplus,,0.072396219,0.083900332,1970.299509
36,-1.425372243,-0.415481329,-0.428280175,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.85671731,6.716024083,2.214069033,5.844242327,0,0.001,1.00E-05,64,TRUE,logBar,profit,ID,24,softplus,,,,
35,-1.425177574,-0.414632797,-0.429982275,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.27487259,6.577963678,2.272737122,6.22810506,0,0.001,0.0001,64,TRUE,logBar,profit,ID,24,softplus,,,,
32,-1.45934391,-0.413981736,-0.427858382,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,16.62299643,1.1250408,0.266949211,5.500672421,0,3,1.00E-05,8,TRUE,logBar,profit,ID,24,softplus,,,,
31,-1.461356878,-0.413023919,-0.432282001,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.13760247,1.08845706,0.259670107,6.46843067,0,3,0.0001,8,TRUE,logBar,profit,ID,24,softplus,,,,
8,-1.452563882,-0.412481874,-0.434300393,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,18.56265335,1.010972556,0.436155649,6.197244273,0,0.003,1.00E-05,8,TRUE,logBar,profit,ID,24,softplus,,,,
40,-1.449955583,-0.412047029,-0.420442581,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.14929227,6.585860738,2.078152202,6.42681226,0,0.003,1.00E-05,64,TRUE,logBar,profit,ID,24,softplus,,,,
44,-1.421169043,-0.411431521,-0.419427782,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.92355833,6.55753632,1.853105965,6.331295823,0,0.01,1.00E-05,64,TRUE,logBar,profit,ID,24,softplus,,,,
48,-1.421169043,-0.411431521,-0.419427782,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.54823348,6.715253165,2.140918587,6.572708908,0,0.03,1.00E-05,64,TRUE,logBar,profit,ID,24,softplus,,,,
52,-1.421169043,-0.411431521,-0.419427782,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.58455708,6.669252226,1.919632033,5.84313717,0,0.1,1.00E-05,64,TRUE,logBar,profit,ID,24,softplus,,,,
56,-1.421169043,-0.411431521,-0.419427782,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,14.93653981,6.612646153,1.879789597,6.377830568,0,0.3,1.00E-05,64,TRUE,logBar,profit,ID,24,softplus,,,,
60,-1.421169043,-0.411431521,-0.419427782,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.31723182,6.846368551,1.924091992,6.459783868,0,1,1.00E-05,64,TRUE,logBar,profit,ID,24,softplus,,,,
28,-1.422936082,-0.410736769,-0.421507776,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,17.67966927,0.973213545,0.307358827,6.592572016,0,1,1.00E-05,8,TRUE,logBar,profit,ID,24,softplus,,,,
39,-1.451805592,-0.410255194,-0.428281695,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.06397765,6.618443807,2.079010534,6.192924221,0,0.003,0.0001,64,TRUE,logBar,profit,ID,24,softplus,,,,
43,-1.426372051,-0.41016373,-0.41988045,1.414547205,0.410162568,0.420511007,1.755104423,0.489230037,0.515412867,15.34589787,6.573725871,2.187387015,6.391140887,0,0.01,0.0001,64,TRUE,logBar,profit,ID,24,softplus,,,,
