a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_train_time,b_train_time_WS,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
1,0.3033261758591601,0.420527562950074,0.26742711952578935,1.1538064738799498,1.4147827727136262,1.552944369706335,0.30432554371148424,0.4101335140625526,0.26581226020354976,0.5153637683698817,1.754977234431795,0.4891993484695554,8,50,16306.686512231827,129.66053986549377,16177.025972366333,64,0.01,0.0,0.0,true
2,0.3087518581299362,0.420527562950074,0.2765950282385552,1.5739431604140712,1.4147827727136262,1.6595306367120788,0.3158688616032659,0.4101335140625526,0.2746947878678907,0.5153637683698817,1.754977234431795,0.4891993484695554,28,63,34093.96126580238,112.16130089759827,33981.799964904785,64,0.01,0.0,0.0,false
3,0.43045413424278123,0.420527562950074,0.4098837764670782,1.4319251129143833,1.4147827727136262,1.5393548392122467,0.4197083238240591,0.4101335140625526,0.40115531213473044,0.5153637683698817,1.754977234431795,0.4891993484695554,23,53,15092.072041988373,125.63832402229309,14966.43371796608,64,0.01,0.5,0.0,true
4,0.36128893957344843,0.420527562950074,-0.03464627365564166,1.4599674545947208,1.4147827727136262,1.7512926544936005,0.3461946065547592,0.4101335140625526,0.044200527358771335,0.5153637683698817,1.754977234431795,0.4891993484695554,13,49,18655.175503969193,135.6962969303131,18519.47920703888,64,0.01,0.5,0.0,false
5,0.43857169406890595,0.420527562950074,0.4265051249235474,1.48233936291554,1.4147827727136262,1.5165394825445646,0.4174760285124264,0.4101335140625526,0.4093637717590457,0.5153637683698817,1.754977234431795,0.4891993484695554,35,54,16068.438421010971,120.75581312179565,15947.682607889175,64,0.01,0.1,0.0,true
6,0.38707186605894894,0.420527562950074,0.10308479147087124,1.4299292946757607,1.4147827727136262,1.7048337406445935,0.3666083018660442,0.4101335140625526,0.10756720316220791,0.5153637683698817,1.754977234431795,0.4891993484695554,17,47,17687.03448200226,117.31295800209045,17569.721524000168,64,0.01,0.1,0.0,false
7,0.42487451228071826,0.420527562950074,0.42569655388890904,1.4576811881340808,1.4147827727136262,1.4662385268225977,0.4140067880540499,0.4101335140625526,0.4118510843499399,0.5153637683698817,1.754977234431795,0.4891993484695554,49,60,15371.869785785675,124.34357500076294,15247.526210784912,64,0.01,0.02,0.0,true
8,0.40634899614084774,0.420527562950074,0.3814918670189873,1.4542359487086798,1.4147827727136262,1.5306287465889459,0.40032606758016653,0.4101335140625526,0.35939134798949257,0.5153637683698817,1.754977234431795,0.4891993484695554,28,48,15043.10531592369,126.69221591949463,14916.413100004196,64,0.01,0.02,0.0,false
9,0.37279762424145546,0.420527562950074,0.3727978050462586,1.5758094729545822,1.4147827727136262,1.5758101145871546,0.35965398428227924,0.4101335140625526,0.3596541699009044,0.5153637683698817,1.754977234431795,0.4891993484695554,71,72,18103.654813051224,121.15226793289185,17982.502545118332,64,0.01,0.0,0.001,true
10,0.28055650875462157,0.420527562950074,0.23463059400521957,1.385604267751071,1.4147827727136262,1.7548955709803167,0.27646803738203873,0.4101335140625526,0.24817186747000464,0.5153637683698817,1.754977234431795,0.4891993484695554,8,61,32443.572751045227,126.47875499725342,32317.093996047974,64,0.01,0.0,0.001,false
