a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_train_time,b_train_time_WS,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
1,0.3727368661204298,0.420527562950074,0.35998658655403193,1.5453280679281338,1.4147827727136262,1.538059839303556,0.3679258264066232,0.4101335140625526,0.36310649740725487,0.5153637683698817,1.754977234431795,0.4891993484695554,31,42,2075.6101191043854,531.8494369983673,1543.760682106018,64,0.001,0.0,0.0,true
2,0.2693590071995906,0.420527562950074,0.25773669188216597,1.6217676684947384,1.4147827727136262,1.754987092755452,0.2620902465766366,0.4101335140625526,0.22265575944225136,0.5153637683698817,1.754977234431795,0.4891993484695554,15,43,2152.0872089862823,535.8998410701752,1616.1873679161072,64,0.001,0.0,0.0,false
3,0.4199809440396234,0.420527562950074,0.4209221885534875,1.4623671172927653,1.4147827727136262,1.4669167339121745,0.4114561696584269,0.4101335140625526,0.41045932305195176,0.5153637683698817,1.754977234431795,0.4891993484695554,35,42,2361.9702730178833,527.2477309703827,1834.7225420475006,64,0.001,0.02,0.0,true
4,0.4003695698526111,0.420527562950074,0.18847721719085664,1.4147827235785813,1.4147827727136262,1.5306286671500517,0.40137991664945605,0.4101335140625526,0.22464703401472708,0.5153637683698817,1.754977234431795,0.4891993484695554,2,42,2165.446362018585,528.3038399219513,1637.142522096634,64,0.001,0.02,0.0,false
5,0.43371204148474196,0.420527562950074,0.4201584245584593,1.487007095323576,1.4147827727136262,1.4903929649996939,0.42011551789708634,0.4101335140625526,0.41665194492901136,0.5153637683698817,1.754977234431795,0.4891993484695554,28,42,2313.672763109207,525.8488721847534,1787.8238909244537,64,0.001,0.1,0.0,true
6,0.40136203841536244,0.420527562950074,-0.1641936546291829,1.422929540128612,1.4147827727136262,1.704833672035706,0.3976112256414184,0.4101335140625526,-0.07801109597533307,0.5153637683698817,1.754977234431795,0.4891993484695554,12,42,2136.406038045883,536.2166759967804,1600.1893620491028,64,0.001,0.1,0.0,false
7,0.4367403725202661,0.420527562950074,0.38425359850481455,1.4253077174063353,1.4147827727136262,1.521566687021644,0.4160585269602157,0.4101335140625526,0.38087132803517987,0.5153637683698817,1.754977234431795,0.4891993484695554,14,42,2184.2731170654297,532.8894138336182,1651.3837032318115,64,0.001,0.5,0.0,true
8,0.3938322589973018,0.420527562950074,-0.006560503898448866,1.439024971876707,1.4147827727136262,1.7512926146970504,0.38232561394456366,0.4101335140625526,0.019111900203768073,0.5153637683698817,1.754977234431795,0.4891993484695554,8,42,2085.646017074585,526.0535039901733,1559.5925130844116,64,0.001,0.5,0.0,false
9,0.3621795912629866,0.420527562950074,0.3621839187938576,1.5450448546135602,1.4147827727136262,1.5360241562565804,0.369327102453068,0.4101335140625526,0.3651216770755452,0.5153637683698817,1.754977234431795,0.4891993484695554,32,44,2098.8498990535736,512.9293968677521,1585.9205021858215,64,0.001,0.0,0.001,true
10,0.2671459943463277,0.420527562950074,0.19238358214632623,1.5515754895769813,1.4147827727136262,1.754972754060847,0.26536031046765296,0.4101335140625526,0.16946752421227562,0.5153637683698817,1.754977234431795,0.4891993484695554,12,44,2161.2007818222046,528.4382691383362,1632.7625126838684,64,0.001,0.0,0.001,false
11,0.4199809473862719,0.420527562950074,0.41849093855423636,1.4623692108545638,1.4147827727136262,1.4669229196585345,0.41145612653319463,0.4101335140625526,0.41045919154993604,0.5153637683698817,1.754977234431795,0.4891993484695554,35,45,2295.8735859394073,529.9007201194763,1765.972865819931,64,0.001,0.02,0.001,true
12,0.40036849576399547,0.420527562950074,0.3611199195296466,1.4147838003715227,1.4147827727136262,1.5251541448977841,0.4007220856912921,0.4101335140625526,0.35417427382847055,0.5153637683698817,1.754977234431795,0.4891993484695554,4,44,2127.086024045944,517.2818288803101,1609.8041951656342,64,0.001,0.02,0.001,false
13,0.4337118278181453,0.420527562950074,0.4212762165914097,1.48518699046251,1.4147827727136262,1.492928184430221,0.4201167380547508,0.4101335140625526,0.4131065082815504,0.5153637683698817,1.754977234431795,0.4891993484695554,28,44,2224.3248879909515,531.9089488983154,1692.415939092636,64,0.001,0.1,0.001,true
14,0.4013625538412593,0.420527562950074,0.26675275335603277,1.4229318922057805,1.4147827727136262,1.7055699746791313,0.39761135613514953,0.4101335140625526,0.21796078297872779,0.5153637683698817,1.754977234431795,0.4891993484695554,12,44,2126.8974277973175,529.4715650081635,1597.425862789154,64,0.001,0.1,0.001,false
15,0.43674036918262105,0.420527562950074,0.38881191109371227,1.4253071512716815,1.4147827727136262,1.522005203034845,0.4160585394048737,0.4101335140625526,0.38177134643085875,0.5153637683698817,1.754977234431795,0.4891993484695554,14,44,2058.2620928287506,519.3741781711578,1538.8879146575928,64,0.001,0.5,0.001,true
16,0.40245492661589033,0.420527562950074,0.22908662151382275,1.4369663751853485,1.4147827727136262,1.7513930367219643,0.3825250595684204,0.4101335140625526,0.20050249708720758,0.5153637683698817,1.754977234431795,0.4891993484695554,6,44,2097.811154127121,522.3977091312408,1575.4134449958801,64,0.001,0.5,0.001,false
17,0.3469398204826759,0.420527562950074,0.34693905605433817,1.4502210720679543,1.4147827727136262,1.450222684287663,0.3608554722335857,0.4101335140625526,0.3608564085307502,0.5153637683698817,1.754977234431795,0.4891993484695554,52,52,2184.379149913788,527.3315508365631,1657.0475990772247,64,0.001,0.0,0.1,true
