a_config,a_profit_test,a_profit_test_fc,a_profit_test_opt,a_profit_train,a_profit_train_fc,a_profit_train_opt,a_profit_val,a_profit_val_fc,a_profit_val_opt,ab_profit_test_PF,ab_profit_train_PF,ab_profit_val_PF,b_iter_best,b_n_iters,b_train_time,b_train_time_WS,b_train_time_without_WS,hp_batch_size,hp_lr,hp_perturbation,hp_reg,hp_restrict_forecaster_ts
1,-0.0708978120831234,0.42052756295008153,-0.06344918922920484,-0.549553162641419,1.4147827727147355,-0.44963352686769387,-0.0553998809522962,0.4101335140625706,-0.05720773882762975,0.5153637683698885,1.7549772350927482,0.48919934846955315,56,201,2418.798365831375,0,2418.798365831375,64,0.001,0,0.0,true
2,0.04186952168080027,0.42052756295008153,0.04186958329853785,-0.0984555137542964,1.4147827727147355,-0.09845236753006326,0.06758068260644112,0.4101335140625706,0.06756843772126286,0.5153637683698885,1.7549772350927482,0.48919934846955315,201,201,2323.575742959976,0,2323.575742959976,64,0.003,0,0.0,true
3,0.1704032978165626,0.42052756295008153,0.17041515222614667,0.8093094996967922,1.4147827727147355,0.8137287797998889,0.19348271779613824,0.4101335140625706,0.19332656288990147,0.5153637683698885,1.7549772350927482,0.48919934846955315,175,201,2357.4724440574646,0,2357.4724440574646,64,0.01,0,0.0,true
4,0.17215546287161676,0.42052756295008153,0.15944282304786406,0.8077499186388941,1.4147827727147355,0.8252433721076429,0.2035004519634972,0.4101335140625706,0.16456505275131283,0.5153637683698885,1.7549772350927482,0.48919934846955315,59,201,2346.177173137665,0,2346.177173137665,64,0.03,0,0.0,true
5,0.1779973037943947,0.42052756295008153,0.11824746894293892,0.8291333694406804,1.4147827727147355,0.8467788656080266,0.2002184253324133,0.4101335140625706,0.15877836925575695,0.5153637683698885,1.7549772350927482,0.48919934846955315,8,201,2400.9583961963654,0,2400.9583961963654,64,0.1,0,0.0,true
6,0.18491316705958893,0.42052756295008153,0.12640819162886507,1.14280478784947,1.4147827727147355,1.087629668530925,0.194802197725629,0.4101335140625706,0.148223845296802,0.5153637683698885,1.7549772350927482,0.48919934846955315,187,201,2481.0173799991608,0,2481.0173799991608,64,0.3,0,0.0,true
7,-0.07089783529749227,0.42052756295008153,-0.06344918962829627,-0.5495531624055503,1.4147827727147355,-0.4496326105652093,-0.05539988132477047,0.4101335140625706,-0.05720774482497526,0.5153637683698885,1.7549772350927482,0.48919934846955315,56,201,2351.694016933441,0,2351.694016933441,64,0.001,0,1.0e-5,true
8,0.041869545065000624,0.42052756295008153,0.04186960619009228,-0.09845551189504498,1.4147827727147355,-0.0984523657309424,0.06758073443512624,0.4101335140625706,0.06756848777438917,0.5153637683698885,1.7549772350927482,0.48919934846955315,201,201,2338.383598089218,0,2338.383598089218,64,0.003,0,1.0e-5,true
9,0.17040572578504076,0.42052756295008153,0.17037837602108352,0.7935710695069846,1.4147827727147355,0.8118578412094726,0.19348275775888713,0.4101335140625706,0.1933267486984005,0.5153637683698885,1.7549772350927482,0.48919934846955315,174,201,2344.108396053314,0,2344.108396053314,64,0.01,0,1.0e-5,true
10,0.1721555074925324,0.42052756295008153,0.15944285289864324,0.8077501450978151,1.4147827727147355,0.8254382017847872,0.20350045431799224,0.4101335140625706,0.16456501413097469,0.5153637683698885,1.7549772350927482,0.48919934846955315,59,201,2355.4588310718536,0,2355.4588310718536,64,0.03,0,1.0e-5,true
11,0.1779913991072828,0.42052756295008153,0.12818100664245868,0.829133368382335,1.4147827727147355,0.8645395693620745,0.2002183498471508,0.4101335140625706,0.16015559166303195,0.5153637683698885,1.7549772350927482,0.48919934846955315,8,201,2446.8645300865173,0,2446.8645300865173,64,0.1,0,1.0e-5,true
12,0.18663839735504406,0.42052756295008153,0.1811619973974885,1.1028529261076834,1.4147827727147355,1.1482808215412224,0.1888154052305533,0.4101335140625706,0.1837894845471587,0.5153637683698885,1.7549772350927482,0.48919934846955315,171,201,2491.4896409511566,0,2491.4896409511566,64,0.3,0,1.0e-5,true
